Name,NPCItem,EquipmentClass,ClothClass,RequiredLevel,Rarity,Tier,Enhancement,Texture,FemaleTexture,LootDisabled,PostToSocialNetworks
Hydrated Shoes,,Brown Shoes,Large,13,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Eroded Shoes,,Brown Shoes,Small,13,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Sandy Shoes,,Brown Shoes,Small,13,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Engineer's Boots,,Black Boots,Large,16,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Hacker's Boots,,Black Boots,Small,16,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Viral Boots,,Black Boots,Small,16,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Slayer's Boots,,Black Boots,Large,24,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Killer's Boots,,Black Boots,Small,24,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Murderer's Boots,,Black Boots,Small,24,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Chieftain's Boots,,Black Boots,Small,30,Epic,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Skullstomper Boots,,Black Boots,Large,30,Epic,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Function Boots,,Black Boots,Small,30,Epic,,of the Scientist,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Algorithm Boots,,Black Boots,Large,30,Epic,,of the Predator,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Stalker Sneakers,,Black Boots,Small,26,Rare,,,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,TRUE,
Predator Moccasins,,Black Boots,Small,30,Epic,,,graphics/3d/character/shoes/hunter_set_m30_shoes.png,graphics/3d/character/shoes/hunter_set_m30_shoes.png,TRUE,
Pandemic Shoes,,Black Boots,Small,30,Epic,,,graphics/3d/character/shoes/doctor_set_m30_shoes.png,graphics/3d/character/shoes/doctor_set_m30_shoes.png,TRUE,
Bouncer Boots,,Black Boots,Large,30,Epic,,,graphics/3d/character/shoes/tank_set_m30_shoes.png,graphics/3d/character/shoes/tank_set_m30_shoes.png,TRUE,
