Name,NPCItem,EquipmentClass,ClothClass,Enhancement,Tier,RequiredLevel,Rarity,LootDisabled,Texture,FemaleTexture,PostToSocialNetworks
Elegant Belt,,Belt,Small,,,10,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Great Belt,,Belt,Small,,,15,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Cool Belt,,Belt,Small,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
All-around Belt,,Belt,Small,,,25,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Boosted Black Belt,,Black Belt,Small,,,12,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Acute Black Belt,,Black Belt,Small,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Genuine Black Belt,,Black Belt,Small,,,22,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Special Black Belt,,Black Belt,Small,,,27,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Acute Dark Leather Belt,,Dark Leather Belt,Small,,,3,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Genuine Dark Leather Belt,,Dark Leather Belt,Small,,,4,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Special Dark Leather Belt,,Dark Leather Belt,Small,,,5,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Elegant Dark Leather Belt,,Dark Leather Belt,Small,,,6,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Elegant Belt with Golden Buckle,,Belt with Golden Buckle,Small,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Great Belt with Golden Buckle,,Belt with Golden Buckle,Small,,,22,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Cool Belt with Golden Buckle,,Belt with Golden Buckle,Small,,,24,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Good Belt with Golden Buckle,,Belt with Golden Buckle,Small,,,27,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Fine Belt with Golden Buckle,,Belt with Golden Buckle,Small,,,30,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Cool Belt with Silver Buckle,,Belt with Silver Buckle,Small,,,6,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Good Belt with Silver Buckle,,Belt with Silver Buckle,Small,,,9,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Fine Belt with Silver Buckle,,Belt with Silver Buckle,Small,,,13,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Credible Belt with Silver Buckle,,Belt with Silver Buckle,Small,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Street Wise Belt with Silver Buckle,,Belt with Silver Buckle,Small,,,21,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Worthy Belt with Silver Buckle,,Belt with Silver Buckle,Small,,,28,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Cool Vented Leather Belt,,Vented Leather Belt,Small,,,18,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Good Vented Leather Belt,,Vented Leather Belt,Small,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Fine Vented Leather Belt,,Vented Leather Belt,Small,,,12,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Credible Vented Leather Belt,,Vented Leather Belt,Small,,,14,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Cool Studded Bold Belt,,Studded Bold Belt,Small,,,26,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,TRUE
Good Studded Bold Belt,,Studded Bold Belt,Small,,,29,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,TRUE
Good Studded Belt,,Studded Belt,Small,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Fine Studded Belt,,Studded Belt,Small,,,22,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Street Wise Design Belt,,Design Belt,Small,,,7,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Worthy Design Belt,,Design Belt,Small,,,11,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Boosted Design Belt,,Design Belt,Small,,,14,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Acute Design Belt,,Design Belt,Small,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Credible Utility Belt,,Utility Belt,Small,,,15,Uncommon,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Street Wise Utility Belt,,Utility Belt,Small,,,21,Uncommon,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Cool Engineer's Belt,,Black Belt,Small,,,30,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Fine Engineer's Belt,,Black Belt,Large,,,30,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Radical Belt,,Belt,Small,of the Hunter,,1,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First Class Belt,,Belt,Small,of the Beast,,2,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Excellent Black Belt,,Black Belt,Small,of Health,,4,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High Power Black Belt,,Black Belt,Small,of Brightness,,6,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First Class Snake Leather Belt,,Snake Leather Belt,Small,of the Troublemaker,,8,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Outstanding Snake Leather Belt,,Snake Leather Belt,Small,of the Assassin,,9,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Superfine Snake Leather Belt,,Snake Leather Belt,Small,of Capacity,,11,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High Power Dark Leather Belt,,Dark Leather Belt,Small,of Rationality,,12,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First Class Dark Leather Belt,,Dark Leather Belt,Small,of the Thug,,13,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Excellent Snake Leather Belt,,Snake Leather Belt,Small,of Guts,,14,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High Power Studded Bold Belt,,Studded Bold Belt,Small,of Awareness,,16,Rare,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Marvelous Snake Leather Belt,,Snake Leather Belt,Small,of Determination,,17,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High Power Belt with Golden Buckle,,Belt with Golden Buckle,Small,of Intuition,,18,Rare,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
First Class Belt with Golden Buckle,,Belt with Golden Buckle,Small,of the Scientist,,19,Rare,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Jagged Studded Bold Belt,,Studded Bold Belt,Small,of the Thug,,22,Rare,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Outstanding Belt,,Belt,Large,of Guts,,1,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Superfine Belt,,Belt,Large,of Awareness,,2,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Awesome Snake Leather Belt,,Snake Leather Belt,Large,of Determination,,4,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Greater Snake Leather Belt,,Snake Leather Belt,Large,of Intuition,,6,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Singular Snake Leather Belt,,Snake Leather Belt,Large,of the Hunter,,8,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Exquisite Snake Leather Belt,,Snake Leather Belt,Large,of the Beast,,9,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High Power Snake Leather Belt,,Snake Leather Belt,Large,of Health,,11,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Superior Leather Belt,,Dark Leather Belt,Large,of Brightness,,12,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First Class Leather Belt,,Dark Leather Belt,Large,of the Troublemaker,,13,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Outstanding Leather Belt,,Dark Leather Belt,Large,of the Assassin,,14,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Radical Studded Bold Belt,,Studded Bold Belt,Large,of Capacity,,16,Rare,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Jagged Snake Leather Belt,,Snake Leather Belt,Large,of the Hunter,,17,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Radical Snake Leather Belt,,Snake Leather Belt,Large,of the Troublemaker,,18,Rare,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Excellent Leather Belt,,Snake Leather Belt,Large,of the Assassin,,19,Rare,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
First Class Studded Bold Belt,,Studded Bold Belt,Large,of Capacity,,22,Rare,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
NPC Desert Hooligans belt,true,Belt,,,,1,Common,TRUE,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/belt_black_01_f.png,
NPC Mutant belt,true,Belt,,,,1,Common,TRUE,graphics/3d/character/labycorp_textures/mutant_tech_belt1_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Toxic Belt,,Belt,Large,,5,30,Epic,TRUE,graphics/3d/character/belt/belt_champion_01_m.png,graphics/3d/character/belt/belt_champion_01_f.png,TRUE
Poisonous Belt,,Belt,Small,,5,30,Epic,TRUE,graphics/3d/character/belt/belt_champion_01_m.png,graphics/3d/character/belt/belt_champion_01_f.png,TRUE
Calavera Belt,,Belt,Large,of the Hunter,,15,Rare,TRUE,graphics/3d/character/belt/belt_champion_01_m.png,graphics/3d/character/belt/belt_champion_01_f.png,TRUE
Skull Belt,,Belt,Small,of the Beast,,15,Rare,TRUE,graphics/3d/character/belt/belt_champion_01_m.png,graphics/3d/character/belt/belt_champion_01_f.png,TRUE
Waterlogged Belt,,Black Belt,Large,,,3,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Refugee Belt,,Black Belt,Small,,,3,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Patched Belt,,Black Belt,Small,,,3,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Manly Belt,,Black Belt,Large,,,9,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Sandy Belt,,Black Belt,Small,,,9,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Erosion Belt,,Black Belt,Small,,,9,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Evolved Belt,,Black Belt,Large,,,12,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Craggy Belt,,Black Belt,Small,,,12,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
New Breed Belt,,Black Belt,Small,,,12,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Tank Track Belt,,Black Belt,Large,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Demolished Belt,,Black Belt,Small,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Genetic Belt,,Black Belt,Small,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Hooligan Belt,,Black Belt,Large,,,24,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Interrogator's Belt,,Black Belt,Small,,,24,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Scooter's Belt,,Black Belt,Small,,,24,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Shamanistic Sash,,Belt,Small,,2,30,Rare,TRUE,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Shaman's Strap,,Belt,Large,,2,30,Rare,TRUE,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Malfunctioning Sash,,Belt,Small,,2,30,Rare,TRUE,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Malfunctioning Strap,,Belt,Large,,2,30,Rare,TRUE,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
