Name,ArmorClassBonus,WeaponClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,EpicMeleeWeaponConstantTrail,Tier,Enhancement,DropOnlyTo,Model,Mesh,ModelTexture,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,Icon,PostToSocialNetworks,DiamondCostExact,ShopRangeMin,ShopRangeMax,PlaceableInEditor
Technoblade [Hurricane],Armored,Special Weapon: Hurricane,30,Epic,TRUE,TRUE,Trail,3,of the Judgment,Bodyguard,graphics/3d/weapons/weapons.SUP,scythe_dagger,graphics/3d/weapons/textures/scythe_dagger_02.png,,12,,,,,,,,,,,7,,,,,
Bladeflail,Unarmored,Knife,9,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_jungleknife02,graphics/3d/weapons/textures/badass_jungleknife_02.png,,,,,,,,,,,,,,,,,,
Rainchopper,Unarmored,Knife,6,Uncommon,TRUE,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_jungleknife02,graphics/3d/weapons/textures/badass_jungleknife_03.png,,,,,,,,,,,,,,,,,,
Warriorknife,Unarmored,Knife,13,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_jungleKnife02,graphics/3d/weapons/textures/badass_jungleknife_04.png,,,,,,,,,,,,,,,,,,
Omni Scythe,Armored,Hi-Tech Scythe,30,Epic,,TRUE,Trail,2,of the Beast,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe_02.png,,6,30,30,,,,,,,,,,,150000,30,30,
The Blight,Armored,Circular Saw,30,Epic,,TRUE,,2,of the Destroyer,,graphics/3d/weapons/weapons.SUP,circularsaw,graphics/3d/weapons/textures/circularsaw_03.png,,,,,,,,,,,,,166,,,,,
Rootbeer of Supercell,Armored,Beer Bottle,30,Epic,,TRUE,Trail,,of the Judgment,,,,,,6,,,,,,,,,,,88,,,,,
Worldslayer [Bulwark],Armored,Special Weapon: Bulwark,30,Epic,TRUE,TRUE,Trail,1,of Stamina,Bodyguard,graphics/3d/weapons/weapons.SUP,skull_club,graphics/3d/weapons/textures/skull_club_02.png,,12,,,,,,,,,,,195,,,,,
Skullmaster [Bulwark],Unarmored,Special Weapon: Bulwark,30,Epic,TRUE,TRUE,Trail,3,of Health,Bodyguard,graphics/3d/weapons/weapons.SUP,skull_club,graphics/3d/weapons/textures/skull_club_03.png,,12,,,,,,,,,,,195,,,,,
PowerHammer [Bulwark],Mechanical,Special Weapon: Bulwark,30,Epic,TRUE,TRUE,Trail,5,of Intuition,Bodyguard,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer_03.png,,18,,,,,,,,,,,195,,,,,
Steel Head [Bulwark],Unarmored,Special Weapon: Bulwark,30,Rare,,TRUE,Trail,,of the Legend,Bodyguard,graphics/3d/weapons/weapons_rare.SUP,edge_club,graphics/3d/weapons/textures/edge_club_rare_01.png,,,,,,,,,,,,,182,,,,,
Blight Sawer [Rampage],Armored,Special Weapon: Rampage,30,Rare,,TRUE,Trail,2,of the Destroyer,Bodyguard,graphics/3d/weapons/weapons.SUP,circularsaw,graphics/3d/weapons/textures/circularsaw_03.png,,,,,,,,,,,,,170,,,,,
Chainblade [Rampage],Mechanical,Special Weapon: Rampage,30,Epic,TRUE,TRUE,Trail,,of the Thug,Bodyguard,graphics/3d/weapons/weapons.SUP,tools_chainsawsword,graphics/3d/weapons/textures/chainsaw_sword_04.png,,,,,,,,,,,,,165,,,,,
Vibroquaker [Rampage],Unarmored,Special Weapon: Rampage,30,Epic,TRUE,TRUE,Trail,5,of the Beast,Bodyguard,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_03.png,,20,,,,,,,,,,,74,,,,,
Metalcutter [Rampage],Armored,Special Weapon: Rampage,30,Epic,TRUE,TRUE,Trail,2,of the Judgment,Bodyguard,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_03.png,,,,,,,,,,,,,74,,,,,
Mindmace,Mechanical,Hydraulic Hammer,30,Epic,TRUE,TRUE,Trail,5,of the Ambusher,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer_02_new.png,,15,,,,,,,,,,,,,,,,
Facemace,Mechanical,Hydraulic Hammer,30,Epic,,TRUE,,2,of the Ambusher,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer.png,,2,,,,,,,,,,,,,,,,
Broadholder,Unarmored,Sword,10,Epic,,TRUE,Trail,,of the Judgment,,graphics/3d/weapons/weapons.SUP,katana_spiked,graphics/3d/weapons/textures/katana_spiked.png,,2,,,,,,,,,,,191,,,,,
Supercell Rootbeer,Unarmored,Beer Bottle,1,Common,,TRUE,,,,,graphics/3d/props/bottle.SUP,beer_bottle,graphics/3d/props/textures/beer_bottle.png,TRUE,,,,,,,,,,,,,,,,,
Cosmobelcher [Hurricane],Armored,Special Weapon: Hurricane,30,Epic,,TRUE,Trail,3,of Guts,Bodyguard,graphics/3d/weapons/weapons.SUP,scythe_dagger,graphics/3d/weapons/textures/scythe_dagger_02.png,,12,,,,,,,,,,,7,,,,,
Spazzernoid [Bulwark],Armored,Special Weapon: Bulwark,30,Rare,,TRUE,Trail,1,of the Beast,Bodyguard,graphics/3d/weapons/weapons.SUP,skull_club,graphics/3d/weapons/textures/skull_club_02.png,,12,,,,,,,,,,,195,,,,,
Cell Gyrostinker[Rampage],Unarmored,Special Weapon: Rampage,30,Epic,,TRUE,Trail,3,of the Thug,Bodyguard,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_03.png,,20,,,,,,,,,,,74,,,,,
