Name,RequiredExpLevel,RecommendedExpLevel,Difficulty,TutorialFlow,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,RequiredCharacterClass,Deprecated,EnablesTutorial,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
Incy Wincy,18,19,Medium,,Ruins,Larry Newandyke,Power Drive,Power Drive,Robert,I Am In Disguise,talk,Robert,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Power to the People,,,
Warehouse of Horror,15,16,Medium,,Truck Dock,Ling Chon,Motor Pool,Truck Dock,Ling Chon,,talk,Kinder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supply Lines,,,
,,,,,,,,,,,loot,Package,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combat Training,,,Easy,,Achilles,Nicholas Morgil,Achilles,Achilles,Nicholas Morgil,,train_skill,Curtis,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Underground Movement,,,
Refilling,3,5,Easy,,Pulpy Way,Michael McFly,Pulpy Way,Pulpy Way,Michael McFly,,buy,Michael McFly,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Underground Movement,,,
Senseless Brutality,1,1,Easy,,Prison,Maude Statham,Prison,Prison,Maude Statham,,eliminate,Brutal Trooper,1,,,true,20,,,Doctor,TRUE,,,,,,,,,,,,,,,,,,,,Prison Break,,,
,,,,,,,,,,,loot,Basic .32 Pistol,1,Brutal Trooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Brutality,1,1,Easy,,Prison,Maude Statham,Prison,Prison,Maude Statham,,eliminate,Brutal Trooper,1,,,true,20,,,Hunter,TRUE,,,,,,,,,,,,,,,,,,,,Prison Break,,,
,,,,,,,,,,,loot,Standard 12G Shotgun,1,Brutal Trooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slavemaster,28,30,Hard,,Oasis Health Station,Jarden Coggins,Desert Storm,Oasis Health Station,Jarden Coggins,,eliminate,Raider Slavemaster,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-Value Targets,,,
Cave Story,18,20,Medium,,Power Drive,Robert,Power Drive,Power Plant East,Communication Terminal,Incy Wincy,use,Gate Switch,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deeper Underground,,,
Big Brother is Blind,18,20,Medium,,Power Plant East,Communication Terminal,Power Plant North,Power Plant East,Communication Terminal,Scrap Metal,use,Gate Switch,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
High Stakes,18,20,Medium,,Power Plant East,Communication Terminal,Power Plant North,Power Plant East,Communication Terminal,Big Brother is Blind,use,Floating Button,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Meltdown,18,20,Medium,,Power Plant East,Communication Terminal,Power Plant South,Power Plant East,Communication Terminal,High Stakes,use,electric_booth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Out Of Service,18,20,Medium,,Power Plant East,Communication Terminal,Power Plant South,Power Plant West,AI,Meltdown,eliminate,Supervisor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Contractor,18,20,Medium,,Power Plant West,AI,Power Plant West,Power Plant West,AI,,eliminate,Head of Abyssos Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Target of Opportunity,18,20,Medium,,Power Plant West,AI,Power Plant West,Power Plant West,AI,,loot,Data disc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Ticking Timebomb,18,20,Medium,,Power Plant West,AI,Power Plant West,Power Plant West,AI,,use,Gate Switch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Take Two,18,20,Medium,,Power Plant East,Communication Terminal,Power Plant East,Power Plant East,Bateman,Out Of Service,talk,Bateman,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Scrap Metal,18,20,Medium,,Power Plant East,Bateman,Power Plant East,Power Plant East,Communication Terminal,Net Hack,eliminate,Snow Sentrybot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Alone in the Dark 1,16,17,Medium,,Processing Plant,De La Vega,Processing Plant,Processing Plant,De La Vega,,use,Gate Switch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deeper Underground,,,
Alone in the Dark 2,16,17,Medium,,Processing Plant,De La Vega,Processing Plant,Processing Plant,De La Vega,Alone in the Dark 1,use,Gate Switch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deeper Underground,,,
Alone in the Dark 3,16,17,Medium,,Processing Plant,De La Vega,Processing Plant,Processing Plant,De La Vega,Alone in the Dark 2,use,Gate Switch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deeper Underground,,,
Find Rachel,2,3,Easy,,Wetlands,Ed Cavins,Wetlands,Wetlands,Rachel Coen,You're Gonna Be Okay,talk,Rachel Coen,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Underground Movement,,,
Bazookas!,2,3,Medium,,Wetlands,Rachel Coen,Wetlands,Wetlands,Rachel Coen,,use,Deactivated Missile,4,,,,,,,,TRUE,,Small Bazooka,,4,,,,,,,,,,,,,,,,The Underground Movement,,,
Grim Gear-Up,2,3,Easy,,,,Needlewood,Needlewood,Flanagan,Custom Gun,talk,Gollop,1,,,,,,,,TRUE,,Small Molotov Cocktail,,3,,,,,,,,,,,,,,,,The Fugitive,,,
Grim Reaper,3,3,Medium,,Needlewood,Steve,Needlewood,Needlewood,Donovan,,eliminate,Grim Gonzales,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
Gun for Hire,3,3,Easy,,Needlewood,Steve,,Needlewood,Steve,,hire_mercenary,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Fugitive,,,
McGuyver Moment,1,1,Easy,,Prison,Prisoner,Prison,Prison,Prisoner,,return_item,Atomic Wrench,,,,true,15,8,,,TRUE,,Atomic Wrench,,,,,,,,,,,,,,,,,,Prison Break,,,
Custom Gun,1,2,Easy,,Prison,Murphy,Prison,Prison,Murphy,Keep Moving,return_item,Custom Rifle,1,,,true,20,8,,,TRUE,,Custom Rifle,,,,,,,,,,,,,,,,,,Networking,,,
Pina Colada,2,3,Easy,,Needlewood,,Needlewood,Needlewood,Flanagan,,return_item,Grenade,1,,,true,11,8,,,TRUE,,Grenade,,1,,,,,,,,,,,,,,,,Prison Break,,,
Pretty Roger,1,1,Easy,,Prison,Prisoner,,Prison,Prisoner,McGuyver Moment,hire_mercenary,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Prison Break,,,
Prison Bash,1,2,Easy,,Prison,,Prison,Prison,Murphy,,use,Gate Switch,1,,,,,,,,TRUE,,Plans: Custom Rifle,,,,,,,,,,,,,,,,,,Prison Break,,,
Keep Running!,3,4,Easy,,Pulpy Way,Michael McFly,Needlewood,Needlewood,Steve,Armor Alley,talk,Steve,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fugitive,,,
MISSION: Fireworks,1,2,Medium,,Immigration,,Immigration,Immigration,Immigration Trooper,MISSION: Target Practice,eliminate,Infected,5,,,,10,,,,TRUE,,,,,,,,,,,,,,,,,,,,Warm Welcome,,,
Helping Resistance,3,4,Easy,,Pirate Bay,Alton Harvey,Pirate Bay,Pirate Bay,Tollman,,talk,Tollman,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIY,,,
Helping Hand,3,4,Easy,,Pirate Bay,Vladek,Storehouse,Storehouse,Javier Marez,,talk,Javier Marez,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIY,,,
It's a sin,28,30,Hard,,Market Square New Paris,Evagrius the Solitary,New Venice Square,Market Square New Paris,Evagrius the Solitary,,eliminate,Wrath,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-Value Targets,,,
,,,,,,,,,,,eliminate,Glutton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Envy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Chimera,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man behind this all,28,30,Hard,,New Venice Square,Deadguy,New Venice Square,Market Square New Paris,Evagrius the Solitary,,eliminate,Dr. Evil Emmett,1,,,true,5000,2000,,,,,,,,,,,,,,,,,,,,,,,An Old Grudge,,,
Unlocked,1,1,Easy,,Pirate Bay,Buttler,Pirate Bay,Pirate Bay,Mr. Dawnbreak,,talk,Mr. Dawnbreak,1,,,,,,,,,,,,,Large GepX Tinfoiled Stetson,,Small GepX Tinfoiled Stetson,,Small GepX Tinfoiled Stetson,,,,,,,,,,,An Old Grudge,,,
I did see that on news.,28,30,Easy,,Pirate Bay,Mr. Dawnbreak,Dark Forest,Dark Forest,Dale,,talk,Dale,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undead,,,
More information,28,30,Medium,,Dark Forest,Dale,Dark Forest,The Road,Glenn,I did see that on news.,eliminate,Undead Worker,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undead,,,
,,,,,,,,,,,eliminate,Undead Cop,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is this the End?,28,30,Easy,,The Road,Glenn,Highway Bridge,Highway Bridge,Shane,More information,talk,Shane,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undead,,,
Where did it all start,28,30,Hard,,Highway Bridge,Shane,L.A.R.P.U.,Dark Forest,Dale,Is this the End?,eliminate,Sneaky Zombie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undead,,,
That'll lighten things up,18,20,Medium,,Berlin Street Hospital,Michelle Kneiffer,Berlin Street Hospital,Berlin Street Hospital,Michelle Kneiffer,,loot,Gasoline,3,,,,120,300,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
What would MacGyver do,18,20,Medium,,Berlin Street Hospital,Michelle Kneiffer,Berlin Street Hospital,Berlin Street Hospital,Michelle Kneiffer,That'll lighten things up,loot,Data disc,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
Find Bob,18,20,Medium,,Berlin Street Hospital,Michelle Kneiffer,Berlin Street Hospital,Berlin Street Hospital,Chief Mechanic Bob,What would MacGyver do,talk,Chief Mechanic Bob,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
Brainiac,18,20,Medium,,Berlin Street Hospital,Chief Mechanic Bob,Berlin Street Hospital,Berlin Street Hospital,Chief Mechanic Bob,Find Bob,loot,Medical Box,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
Seeking Zeela,18,20,Easy,,Berlin Street Hospital,Chief Mechanic Bob,Old World Hotel,Old World Hotel,Zeela,Brainiac,talk,Zeela,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
Headshot Shotgun,18,20,Medium,,Old World Hotel,Zeela,Old World Hotel,Old World Hotel,Zeela,Seeking Zeela,loot,Gunbox,1,,,true,120,500,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
Bob means business,18,20,Medium,,Old World Hotel,Zeela,Berlin Street Hospital,Berlin Street Hospital,Chief Mechanic Bob,Headshot Shotgun,talk,Chief Mechanic Bob,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
The Bobinator,18,20,Medium,,Berlin Street Hospital,Chief Mechanic Bob,Berlin Street Hospital,Berlin Street Hospital,Chief Mechanic Bob,Bob means business,use,The Bobinator,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
The Bobinator part 2,18,20,Medium,,Berlin Street Hospital,Chief Mechanic Bob,Berlin Street Hospital,Berlin Street Hospital,Michelle Kneiffer,The Bobinator,use,Gate Switch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombie trap,,,
Familiar faces,18,20,Easy,,Berlin Street Hospital,Michelle Kneiffer,Old World Hotel,Old World Hotel,Zeela,The Bobinator part 2,talk,Zeela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
"Places to see, zombies to kill",18,20,Medium,,Old World Hotel,Zeela,Old World Hotel,Old World Hotel,Zeela,Familiar faces,escort,Zeela,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
Check-in,18,20,Easy,,Old World Hotel,Zeela,Old World Hotel,Old World Hotel,Amsterdam,"Places to see, zombies to kill",talk,Amsterdam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
What's with the names,18,20,Medium,,Old World Hotel,Amsterdam,Old World Hotel,Old World Hotel,Paris,Check-in,talk,Paris,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
Key would be awesome,18,20,Easy,,Old World Hotel,Paris,Old World Hotel,Old World Hotel,Amsterdam,What's with the names,loot,Key Card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
Zeela has got a gun,18,20,Medium,,Old World Hotel,Amsterdam,Old World Hotel,Old World Hotel,Zeela,Key would be awesome,talk,Zeela,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
Fill it up,18,20,Medium,,Old World Hotel,Zeela,Old World Hotel,Old World Hotel,Amsterdam,Zeela has got a gun,loot,Propane tank,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
Lurking in the shadows,18,20,Medium,,Old World Hotel,Amsterdam,Old World Hotel,Old World Hotel,Nora,Fill it up,eliminate,Franky,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
,,,,,,,,,,,eliminate,Billy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All alone,18,20,Medium,,Old World Hotel,Nora,Old World Hotel,Old World Hotel,Amsterdam,Lurking in the shadows,talk,Amsterdam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
Help is on it's way,18,20,Medium,,Old World Hotel,Amsterdam,Old World Hotel,Old World Hotel,Amsterdam,All alone,loot,Medical Box,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roadhouse,,,
Clubbing,28,30,Medium,,Venice Canal East,Club Manager,Venice Canal East,Venice Canal East,Club Manager,,talk,Elvis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
,,,,,,,,,,,talk,Faux,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,talk,Windy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great spirits,28,30,Medium,,Venice Canal East,Club Manager,Venice Canal East,Venice Canal East,Club Manager,Clubbing,loot,Boozes,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
Ask for the Bouncer,28,30,Easy,,Venice Canal East,Club Manager,Venice Canal East,Venice Canal East,The Bouncer,Great spirits,talk,The Bouncer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
Search for Kismet,28,30,Medium,,Venice Canal East,The Bouncer,Venice Canal East,Venice Canal East,Kismet,Ask for the Bouncer,talk,Kismet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
Take care of Kismet,28,30,Medium,,Venice Canal East,Kismet,Venice Canal East,Venice Canal East,The Bouncer,Search for Kismet,escort,Armed Kismet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
Head on your sholders,28,30,Medium,,Venice Canal East,The Bouncer,Venice Canal East,Venice Canal East,Elvis,Murder on the dancefloor,talk,Elvis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
Murder on the dancefloor,28,30,Medium,,Venice Canal East,Club Manager,Venice Canal East,Venice Canal East,The Bouncer,Take care of Kismet,eliminate,Undead Cop,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
,,,,,,,,,,,eliminate,Undead Police Commissioner,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People who know people,28,30,Medium,,Venice Canal East,Elvis,New Naples Street,New Naples Street,Fixer-Eddie,Head on your sholders,talk,Fixer-Eddie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
Guns and ammo,28,30,Medium,,New Naples Street,Fixer-Eddie,New Naples Street,New Naples Street,Fixer-Eddie,Head on your sholders,loot,Gunbox,4,,,true,210,500,,,,,,,,,,,,,,,,,,,,,,,Fixer,,,
Smooth move,28,30,Easy,,New Naples Street,Fixer-Eddie,Venice Canal East,Venice Canal East,Elvis,Guns and ammo,talk,Elvis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTM,,,
Is it a bird,28,30,Medium,,New Naples Street,Fixer-Eddie,New Naples Street,New Naples Street,Fixer-Eddie,Guns and ammo,loot,Metal Shard,7,Drunken Zombie,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixer,,,
Zombie yard,28,30,Medium,,New Naples Street,Fixer-Eddie,New Naples Street,New Naples Street,Fixer-Eddie,Is it a bird,eliminate,Undead Cop,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixer,,,
,,,,,,,,,,,loot,Propane tank,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,loot,Gasoline,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shovels,28,30,Medium,,New Naples Street,Fixer-Eddie,New Naples Street,New Naples Street,Fixer-Eddie,Zombie yard,eliminate,Doctor Red,1,,,,,,,,,,Shovel,of the Painmaker,,,,,,,,,,,,,,,,,Fixer,,,
Trash Collector,4,6,Medium,,Refugee Camp,Mister Zee,Refugee Camp,Refugee Camp,Mister Zee,,eliminate,CrateBreakable2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
Distress,4,6,Easy,,Refugee Camp,Haggard Harriet,Refugee Camp,Refugee Camp,Hermit Henry,Trash Collector,talk,Hermit Henry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
Jerry Can,4,6,Medium,,Refugee Camp,Hermit Henry,Refugee Camp,Refugee Camp,Hermit Henry,Distress,loot,Gasoline,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
,,,,,,,,,,,escort,Hermit Henry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-emptive Strike,4,6,Medium,,Refugee Camp,Scout Sam,Refugee Camp,Refugee Camp,Scout Sam,Distress,eliminate,Security Recruit,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
MIA,4,6,Medium,,Refugee Camp,Mister Zee,Refugee Camp,Refugee Camp,Lost Scout,Pre-emptive Strike,talk,Lost Scout,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
Welcome Home,4,6,Medium,,Refugee Camp,Lost Scout,Refugee Camp,Refugee Camp,Lost Scout,MIA,escort,Lost Scout,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
Woman Scorned,4,6,Medium,,Refugee Camp,Militant Mia,Refugee Camp,Refugee Camp,Militant Mia,Welcome Home,eliminate,Filthy Zombie,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
New Strain,4,6,Medium,,Refugee Camp,Little Lisa,Refugee Camp,Refugee Camp,Little Lisa,Woman Scorned,eliminate,Bearded Zombie,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
Expert Consultation,4,6,Medium,,Refugee Camp,Little Lisa,Palm Beach,Palm Beach,Nolan West,New Strain,talk,Nolan West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Camp,,,
Filthy Zombies,4,6,Medium,,Palm Beach,Nolan West,Palm Beach,Palm Beach,Rob Crusoe,Sunny Side Up,eliminate,Filthy Zombie,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm Beach Trouble,,,
Back to the mainland,4,6,Medium,,Palm Beach,Rob Crusoe,Palm Beach,Palm Beach,Rob Crusoe,Filthy Zombies,loot,Woodpile,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm Beach Trouble,,,
In this city,4,6,Medium,,Palm Beach,Rob Crusoe,Palm Beach,Palm Beach,Mole,Back to the mainland,talk,Mole,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm Beach Trouble,,,
Man The Pumps,4,5,Hard,,Dawnbreak Avenue,Assistant Stan,Subway station,Dawnbreak Avenue,Engineer Eddie,Waterline,eliminate,Mutated Zombie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawnbreak Avenue,,,graphics/mission/item_hint_02.png
Scouting,4,5,Medium,,Dawnbreak Avenue,Assistant Stan,Refugee Camp,Refugee Camp,Mister Zee,Waterline,talk,Mister Zee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawnbreak Avenue,,,
Talk to Lloyd,4,5,Easy,,Palm Beach,Mole,Pulpy Way,Pulpy Way,Lloyd Brown,In this city,talk,Lloyd Brown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm Beach Trouble,,,
Help me to help you,28,30,Medium,,Deserted Village,Friendly Raider,Deserted Village,Deserted Village,Friendly Raider,,loot,blueprints,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Help for the Raiders,,,
,,,,,,,,,,,eliminate,Vega,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Vega 2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Raider Jules,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop them!,28,30,Medium,,Deserted Village,Buddy Raider,Deserted Village,Deserted Village,Buddy Raider,,eliminate,Let me in Zombie,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Help for the Raiders,,,
Where the Heck are my keys?,28,30,Medium,,Deserted Village,Buddy Raider,Deserted Village,Deserted Village,Buddy Raider,Stop them!,loot,Key Card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Help for the Raiders,,,
Blood Countess,28,30,Hard,,New Venice Hotel,Muriel,New Venice Hotel,New Venice Hotel,Muriel,,eliminate,Queen Bathory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood Countess,,,
Key To Dr. Bauhoff,28,30,Hard,,Market Square New Paris,Keymaker,Power Plant West,Market Square New Paris,Keymaker,Key to Power Plant,eliminate,Chief Engineer,1,,,,,,,,,,Plans: Key to Dr. Bauhoff,,,,,,,,,,,,,,,,,,Boss Keys,,,
Key To Riot Town,28,30,Hard,,Market Square New Paris,Keymaker,New Naples Street,Market Square New Paris,Keymaker,Key To Dr. Bauhoff,eliminate,Security Captain,1,,,,,,,,,,Plans: Key to Riot Town,,,,,,,,,,,,,,,,,,Boss Keys,,,
,,,,,,,,,,,eliminate,Doctor Catherine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Dr. Bauhoff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key to Seven Deadly Sins,28,30,Hard,,Market Square New Paris,Keymaker,New Peking Street,Market Square New Paris,Keymaker,Key To Riot Town,eliminate,Antiriot Sentry,1,,,,,,,,,,Plans: Key to 7 Deadly Sins,,,,,,,,,,,,,,,,,,Boss Keys,,,
,,,,,,,,,,,eliminate,Riot Captain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Supersoldier Officer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key to Queen of Diamonds,28,30,Hard,,Market Square New Paris,Keymaker,New Venice Hotel,Market Square New Paris,Keymaker,,eliminate,Queen Bathory,1,,,,,,,,,,Plans: Key to Queen of Diamonds,,,,,,,,,,,,,,,,,,Boss Keys,,,
Key To the Slavemaster,28,30,Hard,,Market Square New Paris,Keymaker,East Canal,Market Square New Paris,Keymaker,,eliminate,Akirun,1,,,,,,,,,,Plans: Key to the Slavemaster,,,,,,,,,,,,,,,,,,Boss Keys,,,
Key to Raider Village,28,30,Hard,,Market Square New Paris,Keymaker,Desert Storm,Market Square New Paris,Keymaker,Key To the Slavemaster,eliminate,Raider Slavemaster,1,,,,,,,,,,Plans: Key to Raider Village,,,,,,,,,,,,,,,,,,Boss Keys,,,
Key To Raider Valley,28,30,Hard,,Market Square New Paris,Keymaker,Deserted Village,Market Square New Paris,Keymaker,Key to Raider Village,eliminate,Raider Jules,1,,,,,,,,,,Plans: Key to Raider Valley,,,,,,,,,,,,,,,,,,Boss Keys,,,
,,,,,,,,,,,eliminate,Vega,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Vega 2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key to Devourer Dragon,28,30,Hard,,Market Square New Paris,Keymaker,Lovens Park West,Market Square New Paris,Keymaker,,eliminate,Pyrox,1,,,,,,,,,,Plans: Key to Devourer Dragon,,,,,,,,,,,,,,,,,,Boss Keys,,,
,,,,,,,,,,,eliminate,SPARTAN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Lava Ant,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulwark,30,30,Easy,,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,,return_item,"Bandage, rank 5",30,,,,,,,Bodyguard,,,Plans: 25 x Thruster,,,,,,,,,,,,,,,,,,Specialization,,,
Hurricane,30,30,Easy,,Maze Pit,Foote,Maze Pit,Maze Pit,Eric,Bulwark,return_item,"Bandage, rank 5",30,,,,,,,Bodyguard,,,Plans: 25 x Mass Damage,,,,,,,,,,,,,,,,,,Specialization,,,
Rampage,30,30,Easy,,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,Hurricane,return_item,"Bandage, rank 5",30,,,,,,,Bodyguard,,,Plans: 25 x Bone Cracker,,,,,,,,,,,,,,,,,,Specialization,,,graphics/mission/bg_abilities.png
Prolonger,30,30,Easy,,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,,return_item,"Bandage, rank 5",30,,,,,,,Doctor,,,Plans: 25 x Medicine Shot,,,,,,,,,,,,,,,,,,Specialization,,,
Area-Healer,30,30,Easy,,Maze Pit,Foote,Maze Pit,Maze Pit,Eric,Prolonger,return_item,"Bandage, rank 5",30,,,,,,,Doctor,,,Plans: 25 x Heal Wave,,,,,,,,,,,,,,,,,,Specialization,,,
Insta-Healer,30,30,Easy,,Maze Pit,Eric,Maze Pit,Maze Pit,Eric,Area-Healer,return_item,"Bandage, rank 5",30,,,,,,,Doctor,,,Plans: 25 x Emergency Treatment,,,,,,,,,,,,,,,,,,Specialization,,,graphics/mission/doctor_abilities.png
Leviathan,30,30,Easy,,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,,return_item,"Bandage, rank 5",30,,,,,,,Hunter,,,Plans: 25 x Dum-Dum,,,,,,,,,,,,,,,,,,Specialization,,,
Wasp,30,30,Easy,,Maze Pit,Foote,Maze Pit,Maze Pit,Eric,Leviathan,return_item,"Bandage, rank 5",30,,,,,,,Hunter,,,Plans: 25 x Nerve Gas,,,,,,,,,,,,,,,,,,Specialization,,,
