Name,RequiredExpLevel,RecommendedExpLevel,TutorialFlow,Difficulty,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,RequiredCharacterClass,Deprecated,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
Clear The Yard,1,1,,Medium,Northern Harbor,Pablo,Northern Harbor,Northern Harbor,Pablo,Craft Super Bullets,eliminate,Undead Worker,4,,,,10,5,,,,,,3,,,,,,,,,,,,,,,,Northern Harbour,,,
,,,,,,,,,,Craft Superior Bullets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Craft Better Haft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost In The Fog,1,2,,Medium,Northern Harbor,Eric,Northern Harbor,Northern Harbor,Eric,Clear The Yard,eliminate,Rotten Zombie,1,,,,,,,,,,,,Common Leather Belt,,Regular Leather Belt,,Regular Leather Belt,,,,,,,,,,,Northern Harbour,,,
Missing Guard,2,2,,Medium,Northern Harbor,Eric,Northern Harbor,Northern Harbor,Eric,Michaela Is Back,loot,Key Card,,Undead Guard,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Harbour,,,
,,,,,,,,,,,eliminate,Undead Guard,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting Out,2,3,,Medium,Northern Harbor,Eric,Northern Harbor,Northern Harbor,Pablo,Missing Guard,escort,Pablo,1,,,,,,,,,,,,Plans: Hermana,,Plans: Hermano,,Plans: Hermano,,,,,,,,,,,Lovens Road,,,
MISSION: Clear The Path,1,1,,Medium,Northern Harbor,Michaela,Northern Harbor,Northern Harbor,Eric,,loot,Old Rusty Pistol,1,,,true,10,,,Doctor,,,,,,,,,,,,,,,,,,,,Warm Welcome,Bolts,75,
,,,,,,,,,,,eliminate,Filthy Zombie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft Super Bullets,1,2,,Easy,Northern Harbor,Pablo,Northern Harbor,Northern Harbor,Pablo,Boosting Damage,return_item,Super Bullet,1,,,,,,,Doctor,,Super Bullet,,1,,,,,,,,,,,,,,,,Northern Harbour,,,
Craft Superior Bullets,1,2,,Easy,Northern Harbor,Pablo,Northern Harbor,Northern Harbor,Pablo,Boosting Damage,return_item,Super Bullet,1,,,,,,,Hunter,,Super Bullet,,1,,,,,,,,,,,,,,,,Northern Harbour,,,
Craft Better Haft,1,2,,Easy,Northern Harbor,Pablo,Northern Harbor,Northern Harbor,Pablo,Boosting Damage,return_item,Modified Haft,1,,,,,,,Bodyguard,,Modified Haft,,1,,,,,,,,,,,,,,,,Northern Harbour,,,
Michaela Is Back,2,2,,Medium,Northern Harbor,Pablo,Northern Harbor,Northern Harbor,Eric,Immigration Office,escort,Eric,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Harbour,,,
MISSION: To The Camp!,1,1,,Medium,Northern Harbor,Michaela,Northern Harbor,Northern Harbor,Eric,,loot,Old Rusty Pistol,1,,,true,10,,,Hunter,,,,,,,,,,,,,,,,,,,,Warm Welcome,Bolts,75,
,,,,,,,,,,,eliminate,Filthy Zombie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make More Damage,1,1,,Easy,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,,talk,Foote,1,,,true,10,10,,,,,,,Plans: 50 x Modified Haft,,Plans: 50 x Super Bullet,,Plans: 50 x Super Bullet,,,,,,,,,,,Fresh Off The Boat,,,
Clear Skies,2,3,,Medium,Lovens Road,IzaK,Lovens Road,Lovens Road,IzaK,Voice Out There,use,electric_booth,3,,,,,,,,,Grenade,,3,,,,,,,,,,,,,,,,Lovens Road,,,
Instant Crafting,7,7,,Easy,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,Get More Plans,talk,Foote,1,,,true,10,10,,,,,,,Plans: 50 x Cyanide Surprise,,Plans: 50 x Piercing Bullet,,Plans: 50 x Piercing Bullet,,,,,,,,,,,Updated Crafting,,,
Get More Plans,5,5,,Easy,Maze Pit,Foote,Maze Pit,Maze Pit,Eric,Make More Damage,talk,Eric,1,,,true,10,10,,,,,,,Plans: 50 x Exploding Add-on,,Plans: 50 x Exploding Bullet,,Plans: 50 x Exploding Bullet,,,,,,,,,,,Updated Crafting II,,,
Make More Damage 2,1,1,,Easy,Pirate Bay,Alton Harvey,Pirate Bay,Pirate Bay,Tollman,,talk,Tollman,1,,,true,10,10,,,,,,,Plans: 50 x Modified Haft,,Plans: 50 x Super Bullet,,Plans: 50 x Super Bullet,,,,,,,,,,,Updated Crafting,,,
Instant Crafting 2,7,7,,Easy,Pirate Bay,Alton Harvey,Pirate Bay,Pirate Bay,Tollman,Get More Plans 2,talk,Tollman,1,,,true,10,10,,,,,,,Plans: 50 x Cyanide Surprise,,Plans: 50 x Piercing Bullet,,Plans: 50 x Piercing Bullet,,,,,,,,,,,Updated Crafting II,,,
Get More Plans 2,5,5,,Easy,Pirate Bay,Tollman,Pirate Bay,Pirate Bay,Alton Harvey,Make More Damage 2,talk,Alton Harvey,1,,,true,10,10,,,,,,,Plans: 50 x Exploding Add-on,,Plans: 50 x Exploding Bullet,,Plans: 50 x Exploding Bullet,,,,,,,,,,,Updated Crafting,,,
Missing Link,3,3,,Easy,Lovens Road,IzaK,Dawnbreak Avenue,Dawnbreak Avenue,IzaK,Static,loot,Satelite Dish,,,,,,,,,,"Bandage, rank 1",,3,,,,,,,,,,,,,,,,Lovens Road,,,
Big Secret,3,3,,Easy,Dawnbreak Avenue,IzaK,Dawnbreak Avenue,Dawnbreak Avenue,Engineer Eddie,Missing Link,talk,Engineer Eddie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawnbreak Avenue,,,
Population Control,3,4,,Medium,Dawnbreak Avenue,Engineer Eddie,Dawnbreak Avenue,Dawnbreak Avenue,Engineer Eddie,,loot,Medical Box,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawnbreak Avenue,,,
Waterline,3,4,,Medium,Dawnbreak Avenue,Engineer Eddie,Dawnbreak Avenue,Dawnbreak Avenue,Engineer Eddie,Population Control,loot,blueprints2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawnbreak Avenue,,,
Bad Apples,3,4,,Medium,Dawnbreak Avenue,Nurse Nellie,Dawnbreak Avenue,Dawnbreak Avenue,Nurse Nellie,Waterline,loot,Package,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawnbreak Avenue,,,
Housing Crisis,3,4,,Medium,Dawnbreak Avenue,Engineer Eddie,Dawnbreak Avenue,Dawnbreak Avenue,Assistant Stan,,talk,Assistant Stan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawnbreak Avenue,,,
Yet Another Booster,30,30,,Easy,Maze Pit,Eric,Maze Pit,Maze Pit,Foote,,talk,Foote,1,,,,,,,Bodyguard,,,,,Plans: 10 x Blink,,,,,,,,,,,,,,,Updated Crafting II,,,
Key to Power Plant,28,30,,Hard,Market Square New Paris,Keymaker,Dawnbreak Square,Market Square New Paris,Keymaker,,eliminate,SENTINEL,1,,,,,,,,,Plans: Key to Power Plant,,,,,,,,,,,,,,,,,,Boss Keys,,,
