Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,PlaceableInEditor,Tier,Enhancement,ShopRecommend,PostToSocialNetworks,Tier,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,DiamondCostExact
Vigilante Shirt,Jacket,Large,3,Rare,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bulletproof Vest,Jacket,Large,4,Epic,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m2_shirt.png,graphics/3d/character/jacket/tank_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Tank Shirt,Jacket,Large,6,Epic,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m2_shirt.png,graphics/3d/character/jacket/tank_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Casual Top,Jacket,Large,6,Rare,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Guardian's Shirt,Jacket,Large,8,Epic,TRUE,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/tank_set_m2_shirt.png,graphics/3d/character/jacket/tank_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Band Shirt,Jacket,Large,9,Rare,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Elite Shirt,Jacket,Large,10,Epic,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m10_shirt.png,graphics/3d/character/jacket/tank_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Rock Shirt,Jacket,Large,12,Rare,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Secret Service Shirt,Jacket,Large,12,Epic,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m10_shirt.png,graphics/3d/character/jacket/tank_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Cordura Shirt,Jacket,Large,14,Epic,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m10_shirt.png,graphics/3d/character/jacket/tank_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Dragon Vest,Jacket,Large,15,Rare,,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/tank_set_m18_shirt.png,graphics/3d/character/jacket/tank_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Protective Silk Shirt,Jacket,Large,16,Epic,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m14_shirt.png,graphics/3d/character/jacket/tank_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Vanguard Shirt,Jacket,Large,18,Epic,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m14_shirt.png,graphics/3d/character/jacket/tank_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Melee Top,Jacket,Large,18,Rare,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m18_shirt.png,graphics/3d/character/jacket/tank_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Championship Shirt,Jacket,Large,20,Epic,TRUE,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/tank_set_m14_shirt.png,graphics/3d/character/jacket/tank_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bulldog Shirt,Jacket,Large,21,Rare,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m18_shirt.png,graphics/3d/character/jacket/tank_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
VIP Jacket,Jacket,Large,22,Epic,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m22_shirt.png,graphics/3d/character/jacket/tank_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Dress Uniform Jacket,Jacket,Large,24,Rare,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m26_shirt.png,graphics/3d/character/jacket/tank_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Linebacker's Shirt,Jacket,Large,26,Epic,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m22_shirt.png,graphics/3d/character/jacket/tank_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
No Nonsense Shirt,Jacket,Large,27,Rare,TRUE,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m26_shirt.png,graphics/3d/character/jacket/tank_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Armored Shirt,Jacket,Large,28,Epic,TRUE,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/leather_uniform_black_02_m.png,graphics/3d/character/jacket/leather_uniform_outfit_black_02_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Tank Top,Jacket,Large,30,Epic,TRUE,TRUE,,5,of the Beast,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/female_jackets/black_hitek_top.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Extra Large Shirt,Jacket,Large,30,Epic,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m30_shirt.png,graphics/3d/character/jacket/tank_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Muscle Shirt,Jacket,Large,30,Rare,TRUE,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/tank_set_m26_shirt.png,graphics/3d/character/jacket/tank_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bot-plated Jacket,Jacket,Large,26,Rare,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/night_jacket_01_m_new.png,graphics/3d/character/jacket/night_jacket_01_m_new.png,,,,,graphics/3d/character/jacket/night_jacket_add_01_m_new.png,graphics/3d/character/jacket/night_jacket_add_01_m_new.png,22,graphics/loot/loot_box1.swf,LootShirt,,
Cyber-wired Jacket,Jacket,Small,26,Rare,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m30_shirt.png,graphics/3d/character/jacket/doctor_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Radiation Jacket,Jacket,Small,30,Rare,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m6_shirt.png,graphics/3d/character/jacket/doctor_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bot-Wrangling Jacket,Jacket,Large,30,Rare,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/night_jacket_01_m_new.png,graphics/3d/character/jacket/night_jacket_01_f.png,,,,,graphics/3d/character/jacket//night_jacket_add_01_m_new.png,graphics/3d/character/jacket//night_jacket_add_01_m_new.png,22,graphics/loot/loot_box1.swf,LootShirt,,
Riot Leathers,Jacket,Large,30,Epic,,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/vest_studded_01_m.png,graphics/3d/character/jacket/vest_studded_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Riot Jacket,Jacket,Small,30,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m30_shirt.png,graphics/3d/character/jacket/doctor_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
The Heat Sink,Jacket,Large,30,Rare,,TRUE,,1,of the Painmaker,,,,graphics/3d/character/jacket/tank_set_m2_shirt.png,graphics/3d/character/jacket/tank_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
IR Camouflage,Jacket,Small,30,Rare,,TRUE,,2,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m22_shirt.png,graphics/3d/character/jacket/doctor_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Fitting Shooting Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,3,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m14_shirt.png,graphics/3d/character/jacket/hunter_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Chromium Shooting Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,4,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m30_shirt.png,graphics/3d/character/jacket/hunter_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Splatter-repelling Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,3,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m14_shirt.png,graphics/3d/character/jacket/doctor_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Hand-stitched Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,4,of 6th Sense,,,,graphics/3d/character/jacket/doctor_set_m30_shirt.png,graphics/3d/character/jacket/doctor_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Rock Hard,Jacket,Large,30,Epic,,TRUE,,1,of the Beast,,,,graphics/3d/character/jacket/tank_set_m30_shirt.png,graphics/3d/character/jacket/tank_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bomb Shelter,Jacket,Large,30,Epic,TRUE,TRUE,,4,of the Painmaker,,,,graphics/3d/character/jacket/tank_set_m30_shirt.png,graphics/3d/character/jacket/tank_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Light Jacket,Jacket,Small,4,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Outdoor Jacket,Jacket,Small,16,Uncommon,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Running Shirt,Jacket,Small,22,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/tshirt_white_01_m.png,graphics/3d/character/jacket/tshirt_white_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Heavy Jacket,Jacket,Large,4,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/vest_studded_01_m.png,graphics/3d/character/jacket/vest_studded_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Riot Coat,Jacket,Large,16,Uncommon,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/distressed_anarchist_jacket_01_m.png,graphics/3d/character/jacket/distressed_anarchist_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Hot Jacket,Jacket,Large,22,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/red_flame_jacket_01_m.png,graphics/3d/character/jacket/red_flame_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Yellow Long Jacket,Jacket,Small,1,Common,,TRUE,,,,,,,graphics/3d/character/jacket/long_jacket_outfit_03_m.png,graphics/3d/character/female_jackets/yellow_jacket_01_f.png,,,,,graphics/3d/character/jacket/long_jacket_outfit_03_add_m.png,graphics/3d/character/female_jackets/yellow_jacket_add_01_f.png,22,graphics/loot/loot_box1.swf,LootShirt,,
Zee Jacket,Jacket,Small,1,Common,,TRUE,,,,,,,graphics/3d/character/jacket/open_blouse_01_m.png,graphics/3d/character/jacket/open_blouse_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Vega Jacket,Jacket,Small,30,Rare,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,,,,,,,,,
Vega Coat,Jacket,Large,30,Rare,,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,,,,,,,,,
Anguisher's Armored Vest,Armored Jacket,Large,30,Epic,,TRUE,,,of the Judgment,,,,graphics/3d/character/jacket/brown_armor_vestoutfit_01_m_new_02.png,graphics/3d/character/jacket/brown_armor_vestoutfit_01_f_new_02.png,,,,,,,30,graphics/loot/loot_box1.swf,LootShirt,,
Worthy Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of Health,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/doctor_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Boosted Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of Brightness,,,,graphics/3d/character/jacket/doctor_set_m6_shirt.png,graphics/3d/character/jacket/doctor_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Acute Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of Rationality,,,,graphics/3d/character/jacket/doctor_set_m10_shirt.png,graphics/3d/character/jacket/doctor_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Genuine Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m14_shirt.png,graphics/3d/character/jacket/doctor_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Singular Custom Jacket,Custom Jacket,Small,30,Rare,,TRUE,,,of the Legend,,,,graphics/3d/character/jacket/doctor_set_m18_shirt.png,graphics/3d/character/jacket/doctor_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Exquisite Custom Jacket,Custom Jacket,Small,30,Rare,,TRUE,,,of Brightness,,,,graphics/3d/character/jacket/doctor_set_m22_shirt.png,graphics/3d/character/jacket/doctor_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
High Power Custom Jacket,Custom Jacket,Small,30,Rare,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/doctor_set_m26_shirt.png,graphics/3d/character/jacket/doctor_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Special Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Elegant Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of the Troublemaker,,,,graphics/3d/character/jacket/hunter_set_m6_shirt.png,graphics/3d/character/jacket/hunter_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Great Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m10_shirt.png,graphics/3d/character/jacket/hunter_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Cool Custom Jacket,Custom Jacket,Small,30,Uncommon,,TRUE,,,of Capacity,,,,graphics/3d/character/jacket/hunter_set_m14_shirt.png,graphics/3d/character/jacket/hunter_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Jagged Custom Jacket,Custom Jacket,Small,30,Rare,,TRUE,,,of Rationality,,,,graphics/3d/character/jacket/hunter_set_m18_shirt.png,graphics/3d/character/jacket/hunter_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Radical Custom Jacket,Custom Jacket,Small,30,Rare,,TRUE,,,of the Painmaker,,,,graphics/3d/character/jacket/hunter_set_m22_shirt.png,graphics/3d/character/jacket/hunter_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
First Class Custom Jacket,Custom Jacket,Small,30,Rare,,TRUE,,,of the Predator,,,,graphics/3d/character/jacket/hunter_set_m26_shirt.png,graphics/3d/character/jacket/hunter_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Street Wise Protector,Protector,Large,30,Uncommon,,TRUE,,,of Stamina,,,,graphics/3d/character/jacket/tank_set_m2_shirt.png,graphics/3d/character/jacket/tank_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Worthy Protector,Protector,Large,30,Uncommon,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Boosted Protector,Protector,Large,30,Uncommon,,TRUE,,,of the Judgment,,,,graphics/3d/character/jacket/tank_set_m10_shirt.png,graphics/3d/character/jacket/tank_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Acute Protector,Protector,Large,30,Uncommon,,TRUE,,,of the Predator,,,,graphics/3d/character/jacket/tank_set_m14_shirt.png,graphics/3d/character/jacket/tank_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Greater Protector,Protector,Large,30,Rare,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m18_shirt.png,graphics/3d/character/jacket/tank_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Singular Protector,Protector,Large,30,Rare,,TRUE,,,of the Scientist,,,,graphics/3d/character/jacket/tank_set_m22_shirt.png,graphics/3d/character/jacket/tank_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Exquisite Protector,Protector,Large,30,Rare,,TRUE,,,of Determination,,,,graphics/3d/character/jacket/tank_set_m26_shirt.png,graphics/3d/character/jacket/tank_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Nice Protector,Protector,Large,30,Uncommon,,TRUE,,,of the Predator,,,,graphics/3d/character/jacket/tank_set_m14_shirt.png,graphics/3d/character/jacket/tank_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Cluster Stimulator Jacket,Protector,Small,30,Epic,,TRUE,,1,of Capacity,,,,graphics/3d/character/jacket/armored_navy_jacket_01_m.png,graphics/3d/character/jacket/armored_navy_jacket_01_f.png,,,,,graphics/3d/character/jacket/armored_navy_jacket_add_01_m.png,graphics/3d/character/jacket/armored_navy_jacket_add_01_f.png,22,graphics/loot/loot_box1.swf,LootShirt,,
Neurodrive Coat,Protector,Small,30,Epic,,TRUE,,2,of Rationality,,,,graphics/3d/character/jacket/night_jacket_01_m_new.png,graphics/3d/character/jacket/night_jacket_01_f_new.png,,,,,graphics/3d/character/jacket/night_jacket_add_01_m_new.png,,22,graphics/loot/loot_box1.swf,LootShirt,,
Self-regulating Healing Jacket,Protector,Small,30,Epic,,TRUE,,1,of Health,,,,graphics/3d/character/jacket/pattered_long_jacket_gray_01_m.png,graphics/3d/character/jacket/pattered_long_jacket_gray_01_f.png,,,,,graphics/3d/character/jacket/pattered_long_jacket_gray_add_01_m.png,graphics/3d/character/jacket/pattered_long_jacket_gray_add_01_f.png,22,graphics/loot/loot_box1.swf,LootShirt,,
Optical Health Jacket,Protector,Small,30,Epic,,TRUE,,2,of Brightness,,,,graphics/3d/character/jacket/leather_uniform_black_02_m.png,graphics/3d/character/jacket/leather_uniform_outfit_black_02_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Subdermal Health Coat,Protector,Small,30,Epic,,TRUE,,3,of Rationality,,,,graphics/3d/character/jacket/night_jacket_01_m_new.png,graphics/3d/character/jacket/night_jacket_01_f.png,,,,,graphics/3d/character/jacket//night_jacket_add_01_m_new.png,graphics/3d/character/jacket//night_jacket_add_01_m_new.png,22,graphics/loot/loot_box1.swf,LootShirt,,
Nuclear Coat,Protector,Large,30,Epic,,TRUE,,1,of the Predator,,,,graphics/3d/character/jacket/spy_coat_01_m.png,graphics/3d/character/jacket/spy_coat_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Powered Osteonegator Jacket,Protector,Large,30,Epic,,TRUE,,2,of the Thug,,,,graphics/3d/character/jacket/long_jacket_outfit_03_m.png,graphics/3d/character/female_jackets/yellow_jacket_01_f.png,,,,,graphics/3d/character/jacket/long_jacket_outfit_03_add_m.png,graphics/3d/character/female_jackets/yellow_jacket_add_01_f.png,22,graphics/loot/loot_box1.swf,LootShirt,,
Worn Leisure Coat,Protector,Large,1,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sportcoat_blue_02_m.png,graphics/3d/character/jacket/sportcoat_blue_02_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Worn Old Sweater,Protector,Small,1,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_green_01_m.png,graphics/3d/character/jacket/sweater_green_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Worm Gray Sweater,Protector,Small,1,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Blue Denim Vest,Jacket,Small,2,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,,,,,78,graphics/loot/loot_box1.swf,LootShirt,,
Shooter's Shirt,Jacket,Small,4,Common,,TRUE,,,,,,,graphics/3d/character/jacket/tshirt_white_02_m.png,graphics/3d/character/jacket/tshirt_white_02_f.png,,,,,,,64,graphics/loot/loot_box1.swf,LootShirt,,
White Comfy Sweater,Jacket,Small,7,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_white_01_m.png,graphics/3d/character/jacket/sweater_white_01_f.png,,,,,,,38,graphics/loot/loot_box1.swf,LootShirt,,
Two-tone Warm Sweater,Jacket,Small,9,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_whitered_01_m.png,graphics/3d/character/jacket/sweater_whitered_01_f.png,,,,,,,53,graphics/loot/loot_box1.swf,LootShirt,,
Dark Studded Coat,Jacket,Small,11,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_studded_01_m.png,graphics/3d/character/jacket/vest_studded_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Dark Safari Jacket,Jacket,Small,13,Common,,TRUE,,,,,,,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,,,,,28,graphics/loot/loot_box1.swf,LootShirt,,
Casual Blue Vest,Jacket,Large,2,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,,,,,79,graphics/loot/loot_box1.swf,LootShirt,,
Gang Shirt,Jacket,Large,4,Common,,TRUE,,,,,,,graphics/3d/character/jacket/tshirt_white_02_m.png,graphics/3d/character/jacket/tshirt_white_02_f.png,,,,,,,64,graphics/loot/loot_box1.swf,LootShirt,,
White Warm Sweater,Jacket,Large,7,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_white_01_m.png,graphics/3d/character/jacket/sweater_white_01_f.png,,,,,,,47,graphics/loot/loot_box1.swf,LootShirt,,
Two-tone Comfy Sweater,Jacket,Large,9,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_whitered_01_m.png,graphics/3d/character/jacket/sweater_whitered_01_f.png,,,,,,,52,graphics/loot/loot_box1.swf,LootShirt,,
Comfy Vest,Jacket,Large,11,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_studded_01_m.png,graphics/3d/character/jacket/vest_studded_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Brown MC Jacket,Jacket,Large,13,Common,,TRUE,,,,,,,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,,,,,29,graphics/loot/loot_box1.swf,LootShirt,,
Labycore Health Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,4,of Health,,,,graphics/3d/character/jacket/hunter_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Labycore Power Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,4,of the Hunter,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/doctor_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Labycore Strength Jacket,Jacket,Large,30,Epic,TRUE,TRUE,,4,of the Beast,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Darkon-Darkener,Jacket,Small,30,Epic,,TRUE,,2,of Rationality,,,,graphics/3d/character/jacket/hunter_set_m22_shirt.png,graphics/3d/character/jacket/hunter_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Blocking Shroud,Custom Jacket,Small,30,Epic,,TRUE,,2,of the Troublemaker,,,,graphics/3d/character/jacket/doctor_set_m22_shirt.png,graphics/3d/character/jacket/doctor_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Guardian-Douser,Protector,Large,30,Epic,,TRUE,,2,of the Predator,,,,graphics/3d/character/jacket/tank_set_m22_shirt.png,graphics/3d/character/jacket/tank_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Blocking Unit,Protector,Large,30,Rare,,TRUE,,,of Rationality,,,,graphics/3d/character/jacket/tank_set_m10_shirt.png,graphics/3d/character/jacket/tank_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Protective Cloak,Custom Jacket,Small,30,Rare,,TRUE,,,of the Predator,,,,graphics/3d/character/jacket/doctor_set_m10_shirt.png,graphics/3d/character/jacket/doctor_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Guardian Obscurer,Jacket,Small,30,Rare,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/hunter_set_m10_shirt.png,graphics/3d/character/jacket/hunter_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
