Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,ShopRecommend,LootDisabled,Tier,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Swamp Tramplers,Black Boots,Large,5,Rare,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Street Tramplers,Black Boots,Large,7,Rare,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Desert Tramplers,Black Boots,Large,10,Rare,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Dune Tramplers,Black Boots,Large,13,Rare,TRUE,,TRUE,,of the Destroyer,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Island Tramplers,Black Boots,Large,16,Rare,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Leather Footstraps,Black Boots,Large,19,Rare,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Bear Skins,Black Boots,Large,22,Rare,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Rhino Skins,Black Boots,Large,25,Rare,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Mammoth Skins,Black Boots,Large,28,Rare,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Sole Hole in the Sole,Black Boots,Large,30,Rare,TRUE,,TRUE,,of the Destroyer,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Solid Boots,Black Boots,Large,3,Epic,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Wading Boots,Black Boots,Large,5,Epic,TRUE,,TRUE,,of the Destroyer,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Biker Boots,Black Boots,Large,7,Epic,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Steel-Studded Boots,Black Boots,Large,9,Epic,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Impressive Boots,Black Boots,Large,11,Epic,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Colossal Boots,Black Boots,Large,13,Epic,TRUE,,TRUE,,of the Destroyer,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Perfect Boots,Black Boots,Large,15,Epic,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Dominator Boots,Black Boots,Large,15,Epic,,,TRUE,,of the Destroyer,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Wrapped Tips,Black Boots,Large,17,Epic,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Studded Tips,Black Boots,Large,19,Epic,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Spiked Tips,Black Boots,Large,21,Epic,TRUE,,TRUE,,of the Destroyer,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Razor Tips,Black Boots,Large,23,Epic,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Nanoblade Tips,Black Boots,Large,25,Epic,TRUE,,TRUE,,of the Destroyer,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Concrete Crushers,Black Boots,Large,27,Epic,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Steel Crushers,Black Boots,Large,29,Epic,TRUE,,TRUE,,of the Beast,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Bone Crushers,Black Boots,Large,30,Epic,TRUE,,TRUE,,of Awareness,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Kickabout,Black Boots,Large,30,Epic,,,TRUE,,of the Destroyer,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Bot Master Boots,Black Boots,Small,15,Rare,,,TRUE,,of the Hunter,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Bot Trampling Boots,Black Boots,Large,15,Rare,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Lava Walkers,Black Boots,Small,30,Rare,,,TRUE,,of the Assassin,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Lava Waders,Black Boots,Large,30,Rare,,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Pest Squishers,Black Boots,Small,30,Epic,,,TRUE,,of Intuition,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Mite Stompers,Black Boots,Large,30,Epic,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Ninja Geta,Black Boots,Small,30,Epic,TRUE,,TRUE,2,of the Ambusher,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Cat's Paw Boots,Black Boots,Small,30,Epic,TRUE,,TRUE,3,of Intuition,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Stone Soles,Black Boots,Large,30,Epic,TRUE,,TRUE,2,of the Destroyer,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
The Foundation,Black Boots,Large,30,Epic,TRUE,,TRUE,3,of Awareness,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Rubber Soles,Black Boots,Small,6,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Crudkickers,Black Boots,Large,6,Uncommon,,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Edward,Black Boots,Small,30,Epic,TRUE,,TRUE,1,of the Assassin,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Alphonse,Black Boots,Large,30,Epic,TRUE,,TRUE,1,of the Beast,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Worthy Walkers,Boots,Small,30,Uncommon,,,TRUE,,of the Hunter,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Boosted Walkers,Boots,Small,30,Uncommon,,,TRUE,,of the Troublemaker,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Acute Walkers,Boots,Small,30,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Genuine Walkers,Boots,Small,30,Uncommon,,,TRUE,,of Capacity,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Singular Walkers,Boots,Small,30,Rare,,,TRUE,,of Rationality,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Exquisite Walkers,Boots,Small,30,Rare,,,TRUE,,of the Painmaker,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
High Power Walkers,Boots,Small,30,Rare,,,TRUE,,of the Predator,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Special Walkers,Boots,Small,30,Uncommon,,,TRUE,,of Health,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Elegant Walkers,Boots,Small,30,Uncommon,,,TRUE,,of Brightness,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Great Walkers,Boots,Small,30,Uncommon,,,TRUE,,of Rationality,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/npc_valkyries_boots_01.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Cool Walkers,Boots,Small,30,Uncommon,,,TRUE,,of Intuition,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Jagged Walkers,Boots,Small,30,Rare,,,TRUE,,of the Legend,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Radical Walkers,Boots,Small,30,Rare,,,TRUE,,of Brightness,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
First Class Walkers,Boots,Small,30,Rare,,,TRUE,,of the Scientist,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Good Walkers,Boots,Large,30,Uncommon,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Fine Walkers,Boots,Large,30,Uncommon,,,TRUE,,of Stamina,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Credible Walkers,Boots,Large,30,Uncommon,,,TRUE,,of the Thug,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Street Wise Walkers,Boots,Large,30,Uncommon,,,TRUE,,of the Judgment,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Outstanding Walkers,Boots,Large,30,Rare,,,TRUE,,of the Predator,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Superfine Walkers,Boots,Large,30,Rare,,,TRUE,,of the Thug,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Excellent Walkers,Boots,Large,30,Rare,,,TRUE,,of Determination,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Infecting Heart Boots,Boots,Small,30,Epic,,,TRUE,,of Health,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,,,,
Black-market Skeletal Boots,Boots,Small,30,Epic,,,TRUE,,of the Painmaker,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,,,,
Gravitic Contigation Boots,Boots,Small,30,Epic,,,TRUE,,of the Predator,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,,,,,,,,,,,
Explosive Cluster Boots,Boots,Large,30,Epic,,,TRUE,,of the Thug,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,,,,
Powered Guiding Boots,Boots,Large,30,Epic,,,TRUE,,of the Judgment,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,,,,,,,,,,,
Labycore Health Boots,Boots,Small,30,Epic,,,TRUE,2,of the Legend,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Labycore Power Boots,Boots,Small,30,Epic,,,TRUE,2,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Labycore Strength Boots,Boots,Large,30,Epic,,,TRUE,2,of the Destroyer,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Shoot Em Up Boots,Boots,Small,30,Epic,TRUE,,TRUE,3,of the Assassin,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Squish Em Up Boots,Boots,Large,30,Epic,TRUE,,TRUE,3,of the Thug,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
