Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,PlaceableInEditor,Tier,Icon,ShopRecommend,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks,DiamondCostExact
Poison-enlaced Pants,Pants,Large,25,Rare,,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m26_pants.png,graphics/3d/character/pants/tank_set_f26_pants.png,,,,,,,,,,,
Spidersilk-Stiched Pants,Pants,Small,25,Rare,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
Cyber-enhanced Pants,Pants,Small,30,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m30_pants.png,graphics/3d/character/pants/doctor_set_f30_pants.png,,,,,,,,,,,
Pneumatic Pants,Pants,Large,30,Epic,,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/tank_set_m18_pants.png,graphics/3d/character/pants/tank_set_f18_pants.png,,,,,,,,,,,
Anarchy Leggings,Pants,Small,30,Rare,,TRUE,,1,,,of the Assassin,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Anarchy Jeans,Pants,Large,30,Rare,,TRUE,,1,,,of the Beast,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/pants_army_02_f_replace.png,,,,,,,,,,,
Fitting Shooting Trousers,Pants,Small,30,Epic,TRUE,TRUE,,4,,,of 6th Sense,graphics/3d/character/pants/hunter_set_m30_pants.png,graphics/3d/character/pants/hunter_set_f30_pants.png,,,,,,,,,,,
Chromium Shooting Trousers,Pants,Small,30,Epic,TRUE,TRUE,,3,,,of the Hunter,graphics/3d/character/pants/hunter_set_m14_pants.png,graphics/3d/character/pants/hunter_set_f14_pants.png,,,,,,,,,,,
Splatter-repelling Pants,Pants,Small,30,Epic,TRUE,TRUE,,2,,,of Rationality,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
Hand-stitched Pants,Pants,Small,30,Epic,TRUE,TRUE,,4,,,of 6th Sense,graphics/3d/character/pants/doctor_set_m30_pants.png,graphics/3d/character/pants/doctor_set_f30_pants.png,,,,,,,,,,,
Sandwashed,Pants,Large,30,Epic,,TRUE,,1,,,of the Thug,graphics/3d/character/pants/tank_set_m30_pants.png,graphics/3d/character/pants/tank_set_f30_pants.png,,,,,,,,,,,
Fallout Wear,Pants,Large,30,Epic,TRUE,TRUE,,4,,,of the Beast,graphics/3d/character/pants/tank_set_m18_pants.png,graphics/3d/character/pants/tank_set_f18_pants.png,,,,,,,,,,,
Light Pants,Pants,Small,18,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_brown_01_f_replace.png,,,,,,,,,,,
Outdoor Pants,Pants,Small,24,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_brown_01_f_replace.png,,,,,,,,,,,
Combat Trousers,Pants,Small,30,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/pants_army_01_f_replace.png,,,,,,,,,,,
Heavy Pants,Pants,Large,18,Uncommon,,TRUE,,,,,of the Thug,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Tearproof Pants,Pants,Large,24,Uncommon,,TRUE,,,,,of the Beast,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Heavy Jeans,Pants,Large,30,Uncommon,,TRUE,,,,,of the Thug,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,,,,,,,,,,,
Ordinary Pants,Pants,Small,3,Common,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/start_pants_male.png,graphics/3d/character/pants/start_pants_female.png,,,,,,,,,,,
Favorite Pants,Pants,Large,3,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_gray_01_m.png,graphics/3d/character/pants/pants_gray_01_f_replace.png,,,,,,,,,,,
Tech-enhanced Pants,Pants,Small,30,Epic,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/doctor_set_m30_pants.png,graphics/3d/character/pants/doctor_set_f30_pants.png,,,,,,,,,,,
Compressed Pants,Pants,Large,30,Epic,,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m26_pants.png,graphics/3d/character/pants/tank_set_f26_pants.png,,,,,,,,,,,
Jules Pants,Pants,Small,30,Rare,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,,,,,,,,,,,
Jules Trousers,Pants,Large,30,Rare,,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,,,,,,,,,,,
Worthy Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of Health,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Boosted Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of Brightness,graphics/3d/character/pants/doctor_set_m6_pants.png,graphics/3d/character/pants/doctor_set_f6_pants.png,,,,,,,,,,,
Acute Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m10_pants.png,graphics/3d/character/pants/doctor_set_f10_pants.png,,,,,,,,,,,
Genuine Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of Intuition,graphics/3d/character/pants/doctor_set_m14_pants.png,graphics/3d/character/pants/doctor_set_f14_pants.png,,,,,,,,,,,
Singular Thick Pants,Thick Pants,Small,30,Rare,,TRUE,,,,,of the Legend,graphics/3d/character/pants/doctor_set_m18_pants.png,graphics/3d/character/pants/doctor_set_f18_pants.png,,,,,,,,,,,
Exquisite Thick Pants,Thick Pants,Small,30,Rare,,TRUE,,,,,of Brightness,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
High Power Thick Pants,Thick Pants,Small,30,Rare,,TRUE,,,,,of the Beast,graphics/3d/character/pants/doctor_set_m26_pants.png,graphics/3d/character/pants/doctor_set_f26_pants.png,,,,,,,,,,,
Special Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Elegant Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of the Troublemaker,graphics/3d/character/pants/hunter_set_m6_pants.png,graphics/3d/character/pants/hunter_set_f6_pants.png,,,,,,,,,,,
Great Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m10_pants.png,graphics/3d/character/pants/hunter_set_f10_pants.png,,,,,,,,,,,
Cool Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of Capacity,graphics/3d/character/pants/hunter_set_m14_pants.png,graphics/3d/character/pants/hunter_set_f14_pants.png,,,,,,,,,,,
Jagged Thick Pants,Thick Pants,Small,30,Rare,,TRUE,,,,,of Rationality,graphics/3d/character/pants/hunter_set_m18_pants.png,graphics/3d/character/pants/hunter_set_f18_pants.png,,,,,,,,,,,
Radical Thick Pants,Thick Pants,Small,30,Rare,,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/hunter_set_m22_pants.png,graphics/3d/character/pants/hunter_set_f22_pants.png,,,,,,,,,,,
First Class Thick Pants,Thick Pants,Small,30,Rare,,TRUE,,,,,of the Predator,graphics/3d/character/pants/hunter_set_m26_pants.png,graphics/3d/character/pants/hunter_set_f26_pants.png,,,,,,,,,,,
Street Wise Protective Pants,Protective Pants,Large,30,Uncommon,,TRUE,,,,,of Stamina,graphics/3d/character/pants/tank_set_m2_pants.png,graphics/3d/character/pants/tank_set_f2_pants.png,,,,,,,,,,,
Worthy Protective Pants,Protective Pants,Large,30,Uncommon,,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m6_pants.png,graphics/3d/character/pants/tank_set_f6_pants.png,,,,,,,,,,,
Boosted Protective Pants,Protective Pants,Large,30,Uncommon,,TRUE,,,,,of the Judgment,graphics/3d/character/pants/tank_set_m10_pants.png,graphics/3d/character/pants/tank_set_f10_pants.png,,,,,,,,,,,
Acute Protective Pants,Protective Pants,Large,30,Uncommon,,TRUE,,,,,of the Predator,graphics/3d/character/pants/tank_set_m14_pants.png,graphics/3d/character/pants/tank_set_f14_pants.png,,,,,,,,,,,
Greater Protective Pants,Protective Pants,Large,30,Rare,,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m18_pants.png,graphics/3d/character/pants/tank_set_f18_pants.png,,,,,,,,,,,
Singular Protective Pants,Protective Pants,Large,30,Rare,,TRUE,,,,,of the Scientist,graphics/3d/character/pants/tank_set_m22_pants.png,graphics/3d/character/pants/tank_set_f22_pants.png,,,,,,,,,,,
Exquisite Protective Pants,Protective Pants,Large,30,Rare,,TRUE,,,,,of Determination,graphics/3d/character/pants/tank_set_m26_pants.png,graphics/3d/character/pants/tank_set_f26_pants.png,,,,,,,,,,,
Nice Thick Pants,Thick Pants,Small,30,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m10_pants.png,graphics/3d/character/pants/hunter_set_f10_pants.png,,,,,,,,,,,
Gastric Seeking Pants,Protective Pants,Small,30,Epic,,TRUE,,1,,,of the Beast,graphics/3d/character/pants/hunter_set_m6_pants.png,graphics/3d/character/pants/hunter_set_f6_pants.png,,,,,,,,,,,
Stabilizing Trousers,Protective Pants,Small,30,Epic,,TRUE,,2,,,of the Hunter,graphics/3d/character/pants/hunter_set_m14_pants.png,graphics/3d/character/pants/hunter_set_f14_pants.png,,,,,,,,,,,
High-speed Aeropants,Protective Pants,Small,30,Epic,,TRUE,,3,,,of the Troublemaker,graphics/3d/character/pants/suit_trousers_01_m.png,graphics/3d/character/pants/jeans_black_04_f.png,,,,,,,,,,,
Adrenal Health Pants,Protective Pants,Small,30,Epic,,TRUE,,1,,,of Intuition,graphics/3d/character/pants/doctor_set_m6_pants.png,graphics/3d/character/pants/doctor_set_f6_pants.png,,,,,,,,,,,
Autotissue Trousers,Protective Pants,Small,30,Epic,,TRUE,,2,,,of the Legend,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,,,,,,,,,,,
Powered Charging Pants,Protective Pants,Large,30,Epic,,TRUE,,1,,,of the Thug,graphics/3d/character/pants/tank_set_m6_pants.png,graphics/3d/character/pants/tank_set_f6_pants.png,,,,,,,,,,,
Implanted Limb Pants,Protective Pants,Large,30,Epic,,TRUE,,2,,,of the Judgment,graphics/3d/character/pants/tank_set_m26_pants.png,graphics/3d/character/pants/tank_set_f26_pants.png,,,,,,,,,,,
Optical Technocluster Trousers,Protective Pants,Large,30,Epic,,TRUE,,3,,,of the Predator,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,,,,,,,,,,,
Labycore Health Pants,Pants,Small,30,Epic,TRUE,TRUE,,4,,,of Health,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Labycore Power Pants,Pants,Small,30,Epic,TRUE,TRUE,,4,,,of the Hunter,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Labycore Strength Pants,Pants,Large,30,Epic,TRUE,TRUE,,4,,,of the Beast,graphics/3d/character/pants/tank_set_m2_pants.png,graphics/3d/character/pants/tank_set_f2_pants.png,,,,,,,,,,,
Mobility Mechanism,Pants,Small,30,Rare,,TRUE,,,,,of the Predator,graphics/3d/character/pants/hunter_set_m18_pants.png,graphics/3d/character/pants/hunter_set_f18_pants.png,,,,,,,,,,,
Atomo Irradiator,Pants,Small,30,Rare,,TRUE,,,,,of the Scientist,graphics/3d/character/pants/doctor_set_m18_pants.png,graphics/3d/character/pants/doctor_set_f18_pants.png,,,,,,,,,,,
Motion Relocator,Pants,Large,30,Rare,,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m18_pants.png,graphics/3d/character/pants/tank_set_f18_pants.png,,,,,,,,,,,
Motion Attacker,Pants,Small,30,Epic,,TRUE,,2,,,of Rationality,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
Military War Battler,Pants,Large,30,Epic,,TRUE,,2,,,of the Painmaker,graphics/3d/character/pants/tank_set_m22_pants.png,graphics/3d/character/pants/tank_set_f22_pants.png,,,,,,,,,,,
Battle-Relocator,Thick Pants,Small,30,Epic,,TRUE,,2,,,of the Predator,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
