Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Great Sash,Sash,Small,30,Uncommon,,TRUE,of Health,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,3,,,,
Cool Sash,Sash,Small,30,Uncommon,,TRUE,of Brightness,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Good Sash,Sash,Small,30,Uncommon,,TRUE,of Rationality,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Outstanding Sash,Sash,Small,30,Rare,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Superfine Sash,Sash,Small,30,Rare,,TRUE,of the Legend,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Excellent Sash,Sash,Small,30,Rare,,TRUE,of Brightness,,,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,,,,,,,,,,,
Fine Sash,Sash,Large,30,Uncommon,,TRUE,of the Beast,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,3,,,,
Credible Sash,Sash,Large,30,Uncommon,,TRUE,of Stamina,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Street Wise Sash,Sash,Large,30,Uncommon,,TRUE,of the Thug,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Marvelous Sash,Sash,Large,30,Rare,,TRUE,of the Judgment,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Awesome Sash,Sash,Large,30,Rare,,TRUE,of the Predator,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Greater Sash,Sash,Large,30,Rare,,TRUE,of the Thug,1,,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,,,,,,,,,,,
Worthy Sash,Sash,Small,30,Uncommon,,TRUE,of the Scientist,1,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,3,,,,
Boosted Sash,Sash,Large,30,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Acute Sash,Sash,Small,30,Uncommon,,TRUE,of the Hunter,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,3,,,,
Genuine Sash,Sash,Small,30,Uncommon,,TRUE,of the Troublemaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Special Sash,Sash,Small,30,Uncommon,,TRUE,of the Assassin,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Elegant Sash,Sash,Small,30,Uncommon,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,3,,,,
Singular Sash,Sash,Small,30,Rare,,TRUE,of Rationality,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Exquisite Sash,Sash,Small,30,Rare,,TRUE,of the Painmaker,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
High Power Sash,Sash,Small,30,Rare,,TRUE,of the Predator,1,,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,,,,,,,,,,,
Nice Sash,Sash,Small,30,Uncommon,,TRUE,of Brightness,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Mega Power Sash,Sash,Small,30,Rare,,TRUE,of the Painmaker,1,,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,,,,,,,,,,,
Chronobooster Belt,Sash,Small,30,Epic,,TRUE,of Brightness,,,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,,,,,,,,,,,
Heliogroper Belt,Sash,Small,30,Epic,,TRUE,of the Scientist,1,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Ensnarerazer Belt,Sash,Small,30,Epic,,TRUE,of the Painmaker,,,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,,,,,,,,,,,
Gyro-stabilized Belt,Sash,Small,30,Epic,,TRUE,of the Predator,1,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Heavy-metal Ultrasonic Prowler-o-mat,Sash,Large,30,Epic,,TRUE,of the Predator,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Internet-enabled Nailfile,Sash,Large,30,Epic,,TRUE,of the Thug,1,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Janitorial Multiadapter,Sash,Large,30,Epic,,TRUE,of Determination,1,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Regular Leather Belt,Belt,Small,2,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Average Leather Belt,Belt,Small,2,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Common Leather Belt,Belt,Large,2,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Labycore Health Sash,Sash,Small,30,Epic,,TRUE,of the Legend,2,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Labycore Power Sash,Sash,Small,30,Epic,,TRUE,of the Ambusher,2,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Labycore Strength Sash,Sash,Large,30,Epic,,TRUE,of the Destroyer,2,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Shoot Em Up Sash,Sash,Small,30,Epic,TRUE,TRUE,of the Assassin,3,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Squish Em Up Sash,Sash,Large,30,Epic,TRUE,TRUE,of the Thug,3,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Kelly Meow's,Sash,Small,30,Epic,,TRUE,of the Hunter,2,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Meow Kelly's,Sash,Large,30,Epic,,TRUE,of the Beast,2,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Meow Meow,Sash,Large,30,Epic,,TRUE,of the Troublemaker,2,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Kelly Meow Meow,Sash,Small,30,Epic,,TRUE,of the Troublemaker,2,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Sweet Belt,Belt,Small,30,Rare,,TRUE,of the Hunter,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Sweet Sash,Belt,Large,30,Rare,,TRUE,of the Beast,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
