Name,EnergyCost,HealthCost,ConsumableItemClass,RequiredWeaponClass,Projectile,TargetFilter,PreferredTargetClass,Range,Threat,Cast,CoolDown,AoeRadius,AoeFilter,RelativeDamage,PushBack,Animation,WeaponClassAnimation,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffArmor%,BuffDamage%,BuffHP%,BuffRelativeDamage,BuffEffect
Evil Dead,0,,,Melee Weapon,,location,,100,10,2000,30000,200,enemy,450,FALSE,Megastrike3,,43,,,BarrelPoison,Skill_FX_Leg_Breaker,,,,,,,,,30000,,,FALSE,,,,,,120,
Headbite,20,,,,,enemy,,50,15,1500,15000,40,enemy,200,TRUE,FatalStraight,,18,,,FlashEffect,,Skill_Slammer_End,,,,,,,,4000,,,,,,-50,,,300,
Undead Blow,20,,,,,enemy,,50,15,800,25000,40,enemy,120,TRUE,Knockdoor,,18,,,FlashEffect,,SkillJawBlow,,,,,,,,4000,,,,,,,,,300,
The Aftermath,0,,,Ranged Weapon,,enemy,,,0,1000,15000,50,enemy,360,TRUE,ShootPistol4,,,,,FlashEffect,SewerSteam,GrenadeExplosion,,,,,,,,5000,,,,,,,,,200,
Re-animator,15,,,Ranged Weapon,,enemy,,100,25,700,40000,40,enemy,320,TRUE,ShootPistol3,,,,,FlashEffect,,GrenadeExplosion,,,,,,,,10000,,,,-50,-40,-30,-20,,200,
Cemetery,0,,,Ranged Weapon,,location,,100,10,500,30000,200,enemy,400,FALSE,Downgrader,,43,,,Stun,Skill_FX_Eunuch_Maker,,,,,,,,,10000,,,TRUE,,,,,,150,
Zombie Slammer,,,,Melee Weapon,,enemy,,50,25,1000,10000,40,enemy,300,TRUE,ZombieSlammer,ZombieSlammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,,
Burning Zombie,0,50,,,,self,,30,40,1000,2000,40,friendly,100,,,,21,,,Wall Explode,FireLooping,GrenadeExplosion,,,,,,,,5000,,,,,,,,,5000,Burner
Zombie Stun Grenade,20,,Explosive,,StunGrenade,location,,,15,500,500,40,enemy,100,,Attack01,,18,TID_TOOLTIP_AI_SKILL_STUNGRENADE,,Stun,,,,,,,,,,150,,,TRUE,,,,,,,
Zombie Push,,,,Melee Weapon,,enemy,,50,25,1000,15000,40,enemy,420,TRUE,ZombiePush,ZombieSlammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,5000,,,,-50,,,,,,
Zombie 360,,,,Melee Weapon,,enemy,,100,25,1500,30000,150,enemy,500,TRUE,Zombie360,ZombieSlammer,,TID_TOOLTIP_AI_SKILL_Slammer,,Stun,Skill_FX_Eunuch_Maker,,,,,,,,,5000,,,TRUE,,,,,,100,Burner
Bane,0,,,Melee Weapon,,location,,100,10,500,15000,200,enemy,320,TRUE,Megastrike3,,43,,,Stun,Skill_FX_Eunuch_Maker,,,,,,,,,4000,,,TRUE,,,,,,150,
Red Menace,,,,Melee Weapon,,self,,,25,450,15000,30,enemy,350,TRUE,Deception,,,,,WhirlWind,,,,,,,,,,,,,,,,,,,,
Michaela Slammer,15,,,Melee Weapon,,self,,,100,0,10000,40,enemy,10,,,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,,
Nemesis,20,,Projectile,,Bazooka,location,,,40,450,30000,45,enemy,300,TRUE,LaunchRocket,,,,,Nuke,,MissileLaunch,,,,,,,,,,,,,,,,,100,
Whiplash,40,,,,,enemy,,50,0,1500,45000,40,enemy,450,TRUE,Whip_Special_Attack,,,,,FlashEffect,,Skill_Slammer_End,,,,,Trail,,,10000,,,,,,-50,,,100,
Mosh,40,,,,,enemy,,50,0,2000,10000,45,enemy,500,TRUE,ThrowWhip,,,,,FlashEffect,,SkillJawBlow,,,,,Trail,,,,,,,,,,,,,
Headbang,40,,,,,enemy,,50,0,1000,60000,40,enemy,400,,ThrowSideWhip,,,,,Stun,ElectricSlam,SkillJawBlow,,,,,Trail,,,10000,,,TRUE,,,,,,,
Somer Assault,40,,,Melee Weapon,,enemy,,50,8,1000,15000,40,enemy,360,TRUE,Somersault,,,,,Stun,,,,,,,,,,5000,,,TRUE,,,,,,,
Bloodpath,40,,,,,enemy,,50,0,1000,30000,45,enemy,480,TRUE,KickUp,,,,Skill_FX_Slammer,FlashEffect,,SkillJawBlow,,,,,Trail,,,,,,,,,,,,,
Pain,40,,,Ranged Weapon,,enemy,,,8,2000,60000,,,300,TRUE,ShootMinigun,,,,,Skill_FX_BulletRain,Skill_FX_TraumaShot_Hit,,,,,,,,,3000,,,TRUE,-10,-10,-10,-10,-10,,
Zombie doc stunner,20,,,,,self,Doctor,,15,500,10000,40,enemy,350,,Slammer,Slammer,18,,,Stun,,,,,,,,,,3500,,,TRUE,,,,,,,
Zombie rage,20,,,,,self,Hunter,35,,1000,10000,40,enemy,125,TRUE,Twirler,Twirler,21,,Skill_FX_Slammer,FlashEffect,SewerSteam,,,,,,,,,5000,,,,50,10,,,-25,,
Butcher,20,,,,,location,,60,15,500,20000,40,enemy,500,TRUE,Slammer,Slammer,18,,,Stun,,,,,,,,,,3000,,,TRUE,,,,,,500,
Bombs Away,10,,Explosive,,Grenade,location,,,15,450,15000,40,enemy,450,TRUE,Throw,,,TID_TOOLTIP_AI_SKILL_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,
Bomber Spin,10,,,Melee Weapon,,self,,,25,450,45000,30,enemy,650,TRUE,FatalStraight,,,,,FlashEffect,,SkillJawBlow,,,,,,,,,,,,,,,,,,
Anger Slammer,15,,,Melee Weapon,,self,Doctor,,25,1500,25000,40,enemy,480,TRUE,Megastrike2,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,-20,,,,,500,
Pain Slammer,15,,,Melee Weapon,,enemy,,,25,1200,25000,40,enemy,550,,Megastrike3,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,Skill_FX_Rude_Smash,Skill_Slammer_End,,,,,,,,4000,,,TRUE,-40,,-40,,,150,
Gyro Rage,50,,,Ranged Weapon,,enemy,,50,40,800,40000,40,enemy,500,TRUE,Rage,,16,,,FlashEffect,SewerSteam,GrenadeExplosion,,,,,,,,10000,,,,-10,-10,-10,-20,-20,400,
Gyro Gyro!,10,,,Ranged Weapon,,enemy,,30,8,400,15000,40,enemy,600,TRUE,Heman,,,,,FlashEffect,Skill_FX_Eunuch_Maker,Skill_Slammer_End,,,,,,,,4000,,,TRUE,,,,,,,
Bloody Mess,40,,,,,self,,,,500,120000,,,-4000,,Rage,,,,,FlashEffect,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Cut and Bleed,35,,,,,enemy,,50,10,800,30000,,,200,TRUE,Megastrike2,,,,,Stun,,Skill_Slammer_End,,,,,,,,7000,,,,,,,,,900,
Hunters Away,10,,Explosive,,Molotov,location,Hunter,,20,450,15000,60,enemy,450,TRUE,Throw,,,,,MolotovExplosion,,,,,,,,,,5000,,,,,,,,,700,
Doctors Away,20,,Explosive,,StunGrenade,location,Doctor,,15,450,15000,40,enemy,450,,Throw,,18,TID_TOOLTIP_AI_SKILL_STUNGRENADE,,Stun,,,,,,,,,,4000,,,TRUE,,,,,,,
Headmaster Slammer,,,,Melee Weapon,,enemy,,50,25,1000,10000,40,enemy,250,TRUE,ZombieSlammer,ZombieSlammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,,
Headmaster Push,,,,Melee Weapon,,enemy,,50,25,1000,15000,40,enemy,320,TRUE,ZombiePush,ZombieSlammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,1500,,,,-10,,,,,,
Headmaster,,,,Melee Weapon,,enemy,,100,25,1500,30000,150,enemy,300,TRUE,Zombie360,ZombieSlammer,,TID_TOOLTIP_AI_SKILL_Slammer,,Stun,Skill_FX_Eunuch_Maker,,,,,,,,,2000,,,TRUE,,,,,,100,Burner
Electric Blast,0,,,Ranged Weapon,,enemy,,,0,500,5000,75,enemy,300,,WarehousebotAttack,,,,,BotLightningBurster,LightningBursterHit,,,,,,,,,,,,,,,,,,,
Asher,0,,,,,self,,,15,1000,1000,200,enemy,250,TRUE,WarehousebotTwirler,,,,,,ElectricSlam,,,,,,,,,,,,TRUE,,,,,,,
Cleaning the Streets,0,,,Ranged Weapon,,enemy,,,0,3000,20000,200,enemy,550,TRUE,MosquitoBotSonicBurst,,,,,,,SonicGun,sonic_burst_muzzle,SonicBurst,SonicBurst,Tracer_sonic,,,,8000,,,TRUE,,,,,,1200,Burner
Solar,0,,,Ranged Weapon,,enemy,,,0,3000,15000,200,enemy,600,TRUE,MosquitoBotSonicBurst,,,,,,,SonicGun,sonic_burst_muzzle,SonicBurst,SonicBurst,Tracer_sonic,,,,30000,,,,-40,-10,,,,,
Deadly Splash,40,,,Ranged Weapon,,enemy,,,8,400,15000,200,enemy,500,TRUE,Rage,,,,,,Skill_FX_Rude_Smash,,,,,,,,,,,,,,,,,,400,
Gory Sleeper,35,,,Ranged Weapon,,enemy,Hunter,50,10,400,20000,200,enemy,450,TRUE,Taunt,,,,,Stun,,,,,,,,,,8000,,,TRUE,,,,,,300,
Vertical Rage,0,,,Ranged Weapon,,location,,100,10,2000,25000,200,enemy,550,FALSE,ShootMinigun,,43,,,BarrelPoison,Skill_FX_Leg_Breaker,,,,,,,,,30000,,,FALSE,-50,,-50,-20,,400,
Spaghetti,40,,,Ranged Weapon,,enemy,,,8,400,15000,200,enemy,350,TRUE,ShootPistol1,,,,,FlashEffect,Skill_FX_BulletRain,,,,,,,,,,,,,,,,,,400,
Meatball,10,,Explosive,,Molotov,location,,,20,450,15000,60,enemy,500,TRUE,Throw,,,,,MolotovExplosion,,,,,,,,,,5000,,,,,,,,,500,Burner
Sleep with the fishes,0,,,Ranged Weapon,,location,Doctor,100,10,700,25000,200,enemy,500,FALSE,ShootPistol3,,43,,,Stun,Skill_FX_Arms_Eater,,,,,,,,,8000,,,TRUE,,,,,,250,
Chop,20,,,,,enemy,Doctor,50,15,450,25000,40,enemy,700,TRUE,TwoKnives_AttackA,,18,,,Stun,,Skill_Slammer_End,,,,,,,,4000,,,TRUE,,,,,,250,
Deglaze,15,,,,,enemy,,50,25,450,30000,40,enemy,650,TRUE,TwoKnives_AttackB,,,,,FlashEffect,,,,,,,,,,5000,,,,-30,,,,,300,
Foie Gras,,,,,,enemy,,50,25,450,15000,30,enemy,650,TRUE,Taunt,,,,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,500,
Capo di tutti capi,35,,,Ranged Weapon,,enemy,,50,10,1000,25000,100,enemy,450,TRUE,Shoot_Special,,,,,Skill_FX_BulletRain,,,,,,,,,,10000,,,FALSE,-90,-80,-70,-60,-50,,
Omerta,35,,,Ranged Weapon,,enemy,,50,10,1500,35000,,,500,FALSE,Shoot_Special,,,,,BarrelPoison,,,,,,,,,,7000,,,TRUE,,,,,,250,
