Name,Attributes,CharacterClass,ArmorClass,IngredientDrop,Type,DiamondsOnly,Hostile,AttackHostile,Faction,MinLevel,MaxLevel,AI_Skills,DropOnlyClassSpecificItems,Items,ItemCounts,Weapon,Companion,Animation,IdleAnimationClip,AfkAnimationClip,Hair,Skin,Face,FacialHair,Hat,Glasses,Jacket,Pants,Gloves,Shoes,Belt,Necklace,DefaultSpeedDisabled,MovementSpeed,CombatMovementSpeed,AI_WaitTimeMin,AI_WaitTimeMax,AI_SkillDelayMin,AI_SkillDelayMax,AI_SkillDelayMinForNewTarget,AI_SkillDelayMaxForNewTarget,AI_AlertRadius,AI_ObserveRange,DeathEffect,HideOnDeath,RareDeathEffect,HideOnRareDeath,Scale,DamageEffect,DeathSound,DamageSound,GreetingsSound,GoodbyeSound,HostileSound,DualWeapons,AutoAttack
Octavia 'The Night',Player_Healer,Doctor,,,,,,,Mercenary,19,20,,,,,Fine Revolver,,TankFemale,,Sleep,Female_Hair_6,female_skin1,Female_Face2,,,,Good Distressed Jacket,Good Dark Trousers,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Jade 'Apple' Shively,Player_Damage,Hunter,Unarmored,,,,,,General,9,10,,,,,Boosted Revolver,,RogueFemale,,Sleep,Female_Hair_1,female_skin2,Female_Face1,,,,Special Gang Vest,Credible Brown Jeans,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Sierra 'Jazz' Pointer,Suicide_Mob,Hunter,Unarmored,,,,,TRUE,Resistance,1,1,,,,,,,CyberGirl,,,Female_Hair_4,female_skin3,Female_Face3,,,,Dawnbreak T-Shirt,Dawnbreak Trousers,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Sydney 'Nine Fingers',Player_Tank,Bodyguard,,,,,,,Mercenary,23,24,,,,,Advanced Chainsaw,,TankFemale,,Sleep,Female_Hair_7_black,female_skin1,Female_Face2,,,,Street Wise Open Blouse,Jagged White Pants,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Michaela,Tutorial_Mob,Bodyguard,,,,,,TRUE,General,1,30,Michaela Slammer,,,,Illegal Plank,,TankFemale,,Sleep,Female_Hair_4_black,female_skin2,Female_Face3,,,,Street Wise Open Blouse,Special Striped Trousers,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Rosalee 'Death' Loving,Player_Healer,Doctor,Unarmored,,,,,,General,30,30,,,,,Singular Sword,,RogueFemale,,Sleep,Female_Hair_3,female_skin1,Female_Face1,,,,Outstanding Armored Jacket,Cool Dark Jeans,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Jeanna 'Mamba' Matteson,Player_Tank,Bodyguard,Unarmored,,,,,,General,30,30,,,,,Massive Chainsaw,,RogueFemale,,Sleep,Female_Hair_3,female_skin1,Female_Face1,,,,First-Class Dark Trench Coat,Special Armored Pants,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Drusilla 'The Caramba',Player_Healer,Doctor,,,,,,,Mercenary,30,30,,,,,High-Power SMG,,RogueFemale,,Sleep,Female_Hair_5,female_skin2,Female_Face3,,,NPC Aviators,Boosted Sporty Vest,Credible Denim Shorts,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Catrina 'The Cannon',Player_Damage,Hunter,,,,,,,Mercenary,27,28,,,,,Brutal Revolver,,TankFemale,,Sleep,Female_Hair_4_blonde,female_skin1,Female_Face1,,,,Fine Sporty Vest,Elegant Black Trousers,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Mark 'The Orphan',Player_Damage,Hunter,,,,,,,Mercenary,13,14,,,,,Acute SMG,,Rogue,,Sleep,Male_Hair_2_black,Skin4,Male_Face7,beard_black_full,,,Credible Distressed Jacket,Outstanding Branded Jeans,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Trey 'The Alpha',Player_Damage,Hunter,,,,,,,Mercenary,30,30,,,,,Nifty Battle Rifle,,Tank,,Sleep,Male_Hair_6_black,Skin1,Male_Face3,Chin_Beard,,,Genuine Suit Jacket,Acute Branded Jeans,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Mike The Maniac,Player_Tank,Bodyguard,Unarmored,,,,,,General,27,30,,,,,Illegal Plank,,Tank,,Sleep,Male_Hair_2,Skin5,Male_Face3,Lemmy_Sideburners,,,High-Power Armored Jacket,Singular White Camo Pants,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Leo The Snitch,Player_Damage,Hunter,Unarmored,,,,,,General,28,30,,,,,Worthy Revolver,,Rogue,,Sleep,Male_Hair_6_blonde,Skin1,Male_Face5,Burt_Mustache_Blonde,,,Boosted Suit Jacket,Special Armored Pants,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Milford 'Firepick' Pan,Suicide_Mob,Hunter,Unarmored,,,,,TRUE,Resistance,1,2,,,,,High-Power SMG,,Rogue,,Sleep,Male_Hair_4,Skin1,Male_Face3,,,,Good Torso Protector,High-Power Custom Pants,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Sang 'The Butcher',Player_Tank,Bodyguard,,,,,,,Mercenary,5,6,,,,,Good Cleaver,,Tank,,Sleep,Male_Hair_3_blonde,Skin6,Male_Face2,,,,Popular Multicolor T-shirt,Credible Black Jeans,,Standard Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Jason The Blade,Player_Damage,Hunter,Unarmored,,,,,,General,11,13,,,,,Radical Assault Rifle,,Rogue,,Sleep,Male_Hair_6_blonde,Skin4,Male_Face2,,,,Great Anarchy Jacket,First-Class Branded Jeans,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Christopher 'The Hawk',Player_Healer,Doctor,,,,,,,Mercenary,5,5,,,,,Okayish 7.62mm Gas-Operated,,Rogue,,Sleep,Male_Hair_3,Skin4,Male_Face1,,,,Worthy Faux Leather Jacket,Acute Black Jeans,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Lyman 'Ogre' Covert,Player_Tank,Bodyguard,Unarmored,,,,,,General,30,30,Grenade,,,,Illegal Minigun,,Tank,,Sleep,Male_Hair_7,Skin1,Male_Face3,Basic_Mustache,,,Superfine Smart Jacket,Marvelous Custom Pants,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Joshua 'Wishbone' Mill,Player_Damage,Hunter,Unarmored,,,,,,General,21,24,,,,,Excellent Bat,,Rogue,,Sleep,Male_Hair_1,Skin4,Male_Face11,,,,Radical Zipped Gray Jacket,Hustla's Dark Trousers,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Brant 'The Lemming',Player_Healer,Doctor,,,,,,,Mercenary,25,26,,,,,Credible 12G Double,,Rogue,,Sleep,Male_Hair_4,Skin1,Male_Face3,,,,Credible Patterned Jacket,Genuine Camo Pants,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Wilton 'Bullet' Bites,Player_Tank,Bodyguard,Unarmored,,,,,,General,30,30,Grenade,,,,Boosted 7.62mm Recoil-based,,Tank,,Sleep,Male_Hair_2_black,Skin2,Male_Face10,Thin_Mustache_red,,,First-Class Protective Vest,Credible Black Trousers,,Everyday Boots,,,,1200,1200,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Insane Hooligan,Elite_Medium_HighDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,Regular Assault Rifle,,Tank,,,Male_Hair_2_blonde,Skin3,Male_Face2,Chin_Beard_blonde,,,,NPC MALE Hooligans Pants 01,NPC Normal Gloves,NPC Male Hooligans Shoes 01,,,,,,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Grim Gonzales,Mini_Boss_Default,,Unarmored,,,,TRUE,,Labycore,5,5,Grim Rage,TRUE,Plans: Sparrow Hawk,,Basic Minigun,,Tank,,,Male_Hair_12_black,Skin2,Male_Face10,Beard_Long,,Everyday Shutter Shades,NPC MALE Prison Warder Jacket,NPC GENERIC Black Pants,NPC Normal Gloves,NPC Male Hooligans Shoes 01,,,,500,1100,4000,10000,6000,10000,1000,2000,,120,Decapitation,TRUE,Decapitation,TRUE,120,HitEffect1,VoBossDeathBigThug,,,,,,
,,,,,,,,,,,,Grim Taunt,,Plans: Tooth Pick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carolyn, Dawnbreak Tour Guide",Small_LowDamage,,,,,,TRUE,,Neutral,1,30,Burning Zombie,,,,Zombie Fire,,Rogue,,,,Zombie_skin3,Zombie_Face2,,,,,,,,,,TRUE,1200,1200,0,0,0,0,0,0,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Fireman Dave,Big_LowDamage,,,,,,,,Neutral,1,30,,,,,Fire Axe,,Tank,,,Male_Hair_8_black,Skin1,Male_Face1,,,,NPC MALE Docker Worker Jacket,NPC MALE Docker Worker Pants 01,NPC Normal Gloves,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,90,,,,,,,,
Billie Biker,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,Brittle .32 Pistol,,RogueFemale,,,Female_Hair_1_black,female_skin1,Female_Face1,,,,Acid-splashed Leather Vest,Basic Leather Trousers,,NPC Female Valkyries Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
Gang Member Zombie,Small_LowDamage,,,,,,TRUE,,Undead,1,30,,,,,,,Zombie,,,Male_Hair_10_black,Zombie_skin3,Zombie_Face4,,,,Acute Anarchy Jacket,NPC GENERIC Black Pants,,,,,TRUE,400,400,4000,10000,6000,10000,1000,2000,,120,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Slick Jimmy,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,Antiquated Knife,,Rogue,,,Male_Hair_14_black,Skin1,Male_Face11,,,NPC Aviators,Acute Anarchy Jacket,Blue Jeans,NPC Normal Gloves,Leather Footstraps,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumber Joe,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,Atomic Wrench,,Tank,,,Male_Hair_5_black,Skin2,Male_Face4,Basic_Mustache,,,Average Green Sweater,Acute Camo Pants,NPC Yellow Working Gloves,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
IzaK,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,,,Rogue,,,Male_Hair_6_blonde,Skin3,Male_Face9,,,Aiming Visor,Dawnbreak T-Shirt,Good Denim Shorts,All-weather Gloves,Acute Sneakers,,Fine Scarf,,,,,,,,,,,,,,,,,,,,,,,,
Engineer Eddie,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,Acute Revolver,,Rogue,,,Male_Hair_10,Skin5,Male_Face5,,,Sungazers,Fine Patterned Jacket,Acute Brown Jeans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nurse Nellie,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,,,RogueFemale,,,Female_Hair_1_black,female_skin2,Female_Face2,,Basic Nurse Hat,,Cool White Sweater,Excellent White Pants,,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
Assistant Stan,Big_HighDamage_Escort,,,,,,,,Neutral,1,30,,,,,Awesome Shovel,,Tank,,,,Skin4,Male_Face8,,Acute Helmet,,Everyday Orange Worker Coat,Labycore Worker's Trousers,,,Awesome Utility Belt,,,,,4000,10000,3000,6000,1000,2000,70,75,DeathEffect1,,Decapitation,TRUE,90,,,,,,,,
Mister Zee,Medium_HighDamage,,Unarmored,,,,,,Neutral,1,30,,,,,Advanced SMG,,Rogue,,,Male_Hair_3_black,Skin1,Male_Face9,Burt_Mustache,Fine Hat,,Acid-splashed Casual Vest,Casual Slacks,Acute Black Gloves,Wooden Heelers,,,,,,4000,10000,3000,6000,1000,2000,70,75,DeathEffect1,,Decapitation,TRUE,90,,,,,,,,
Haggard Harriet,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,Sawn-off Shotgun,,RogueFemale,,,Female_Hair_1_black,female_skin1,Female_Face3,,Loglady Hat,NPC Aviators,Yellow Long Jacket,NPC GENERIC Black Pants,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,3000,6000,1000,2000,70,75,DeathEffect1,,Decapitation,,,,,,,,,,
Hermit Henry,Medium_HighDamage_Escort,,Armored,,,,,,Neutral,1,30,,,,,Advanced Crowbar,,Rogue,,,Male_Hair_6_black,Skin2,Male_Face6,Beard_Long,,,Bomb Shelter,NPC GENERIC Black Pants,,,,,,,,4000,10000,3000,6000,1000,2000,70,75,DeathEffect1,,Decapitation,,,,,,,,,,
Scout Sam,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,,,Rogue,,,Male_Hair_6_blonde,Skin6,Male_Face5,,Greater Cap,NPC Aviators,NPC Hired Gung T-Shirt,NPC GENERIC Black Pants,,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
Militant Mia,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,,,RogueFemale,,,Female_Hair_1_black,female_skin1,Female_Face1,,,Battle Visors,Armored Jacket,NPC GENERIC Black Pants,NPC Normal Gloves,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Lisa,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,,,RogueFemale,,,Female_Hair_1_black,female_skin2,Female_Face2,,,NPC Aviators,NPC FEMALE Tour Guide,NPC GENERIC Black Pants,NPC Normal Gloves,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bertha,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,,,ChubbyFemale,,,Female_Hair_4_blonde,female_skin1,Female_Face3,,,,Regular Multicolor Shirt,NPC GENERIC Black Pants,,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Pete,Small_LowDamage,,,,,,,,Neutral,1,30,,,,,,,Tank,,,Male_Hair_9_black,Skin2,Male_Face6,beard_black_full,Acute Ivy Cap,,Singular Skull T-shirt,NPC GENERIC Black Pants,,NPC Male Hooligans Shoes 01,,,,,,,,,,,,,,,,,,,,,,,,,,
Chainsaw Charlie,Big_LowDamage,,Unarmored,,,,,,Neutral,1,30,,,,,Chainsaw,,Rogue,,,Male_Hair_3,Skin6,Male_Face1,Beard_Long,,NPC Aviators,Usual Multicolor Shirt,Popular Dark Pants,,Average Boots,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Murdocks General Goods,Big_LowDamage,,Unarmored,,,,,,Neutral,1,30,,,,,,,Tank,,,Male_Hair_3,Skin6,Male_Face1,,,NPC Aviators,NPC Harbor Worker Blue Jacket,NPC MALE Docker Worker Pants 02,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Reids General Goods,Big_LowDamage,,Unarmored,,,,,,Neutral,11,15,,,,,,,Rogue,,,Male_Hair_3,Skin6,Male_Face1,Beard_Long,,NPC Aviators,Universal Two Tone T-shirt,NPC MALE Docker Worker Pants 02,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Jordans General Goods,Big_LowDamage,,Unarmored,,,,,,Neutral,16,20,,,,,,,Tank,,,Male_Hair_3,Skin6,Male_Face1,Thin_Mustache,,NPC Aviators,Typical Yellow Sweater,NPC MALE Docker Worker Pants 02,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Parkers General Goods,Big_LowDamage,,Unarmored,,,,,,Neutral,21,25,,,,,,,Rogue,,,Male_Hair_4_black,Skin1,Male_Face2,beard_red_full,,,Plain Red Sweater,Basic Suit Trousers,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Danvers General Goods,Small_LowDamage,,Unarmored,,,,,,Neutral,26,30,,,,,,,RogueFemale,,,Female_Hair_3_blonde,female_skin2,Female_Face2,,,NPC Aviators,Basic Green Sport Coat,Plain Butcher's Pants,,Poor Open Shoes,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Dean,Big_HighDamage_Escort,,Unarmored,,,,,,Resistance,1,30,,,,,,,Fatman,,,,Skin5,Male_Face3,Beard_Long,,NPC Aviators,NPC Harbor Worker Blue Jacket,NPC MALE Docker Worker Pants 02,NPC Yellow Working Gloves,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Engineer,Small_LowDamage,,Unarmored,,,,TRUE,,Labycore,1,30,,,,,NPC_Police Baton,,Rogue,,,Don's Toupee,Skin2,Male_Face2,,,NPC Aviators,High-Power Suit Jacket,NPC GENERIC Black Pants,NPC Normal Gloves,Acute Black Boots,,,,700,1100,4000,10000,3000,6000,1000,2000,30,50,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Club Flesh Hedonist,Medium_HighDamage,,Unarmored,,,,TRUE,,Club Flesh,1,30,Hired Guns Movement,,,,Basic .40 Pistol,,DualPistol,,,Male_Hair_8,Skin2,Male_Face3,,,NPC Aviators,Radical Dark Trench Coat,Greater White Pants,,NPC Male Mad Dogs Shoes 02,,,,,,4000,10000,6000,6000,1000,2000,70,100,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,TRUE,
,,,,,,,,,,,,Push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,John Woo Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimp Mother,Boss_Default,,Unarmored,,,,TRUE,,Eastern Queens,20,20,Roar,,Plans: Infiltrator's Bandana,,SonicGun,,ChubbyFemale,,,Female_Hair_1,female_skin2,Female_Face2,,,,NPC FEMALE Eastern Queen Shirt 02,NPC FEMALE Eastern Queen Pants 02,,NPC Female Eastern Queens Shoes 02,,,,,,4000,10000,3000,6000,1000,2000,70,75,Decapitation,TRUE,Decapitation,TRUE,100,HitEffect1,VoBossDeathBigWoman,,,,,,
,,,,,,,,,,,,Sonic Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sonic Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raging Ralph,Big_HighDamage,,Armored,,,,TRUE,,Hooligans,1,30,,,,,Massive Plank,,Fatman,,,Male_Hair_1_blonde,Skin3,Male_Face1,,,,NPC MALE Hooligan Jacket 02,NPC MALE Hooligans Pants 03,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,6000,6000,1000,2000,70,100,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Captain Blackbeard,Boss_Default,,Armored,,,,TRUE,,Raiders,14,14,ElectricSlam,,Plans: World Audio Club,,Electric Hammer,,Fatman,,,NPC_Male_Hair_Mohawk,NPC Desert Hooligan skin1,Male_Face5,Beard_Long,,,,,,,NPC Desert Hooligans belt,,,,,4000,10000,6000,6000,1000,2000,85,100,Decapitation,TRUE,Decapitation,TRUE,130,ElectricHammerHitFx,VoBossDeathBigThug,,,,,,
,,,,,,,,,,,,ShootElectric,,Plans: Steel Helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Heman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hired Guns Engineer,Small_LowDamage,,Unarmored,,,,TRUE,,Hired Guns,1,30,,,,,Crude Knife,,Rogue,,,Male_Hair_8,Skin2,Male_Face1,Burt_Mustache,,NPC Aviators,NPC Hired Gung T-Shirt,NPC MALE Hired Guns Pants 01,,NPC Male Hooligans Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,70,75,DeathEffect1,,ExploMan,TRUE,105,HitEffect1,,,,,,,
Roco Mattia,Big_HighDamage,,Unarmored,,,,,,13 Diablos,1,30,,,,,Crappy 12G Shotgun,,Rogue,,,Male_Hair_1,Skin1,Male_Face3,Burt_Mustache,,,NPC MALE 13 Diablos Jacket 01,NPC GENERIC Jeans,,NPC Male 13 Diablos Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Reisman,Small_LowDamage,,Unarmored,,,,,,Resistance,8,8,,,,,,,Tank,,,,Skin3,Male_Face2,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Worden,Small_LowDamage,,Unarmored,,,,,,Resistance,30,30,,,,,,,Tank,,,Male_Hair_6_blonde,Skin1,Male_Face5,,,,Crappy Blue Sweater,Greater White Pants,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Wladislaw,Small_LowDamage,,Unarmored,,,,,,Resistance,12,12,,,,,,,Tank,,,Male_Hair_5,Skin2,Male_Face4,Burt_Mustache_Red,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Franko,Small_LowDamage,,Unarmored,,,,,,Resistance,14,14,,,,,,,Tank,,,Male_Hair_8_black,Skin2,Male_Face2,Burt_Mustache,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Jefferson,Small_LowDamage,,Unarmored,,,,,,Resistance,16,16,,,,,,,Tank,,,,Skin2,Male_Face2,Beard_Long,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Browen,Small_LowDamage,,Unarmored,,,,,,Resistance,18,18,,,,,,,Tank,,,Male_Hair_6_blonde,Skin3,Male_Face2,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Armbruster,Small_LowDamage,,Unarmored,,,,,,Resistance,20,20,,,,,,,Tank,,,,Skin6,Male_Face4,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Jiminez,Small_LowDamage,,Unarmored,,,,,,Resistance,22,22,,,,,,,RogueFemale,,,Female_Hair_4,female_skin2,Female_Face1,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,,2000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Kinder,Small_LowDamage,,Unarmored,,,,,,Resistance,24,24,,,,,,,TankFemale,,,Female_Hair_5_black,female_skin3,Female_Face3,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,Outstanding Scarf,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Dasher,Small_LowDamage,,Unarmored,,,,,,Resistance,26,26,,,,,,,Tank,,,Male_Hair_2_blonde,Skin5,Male_Face4,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Maggott,Small_LowDamage,,Unarmored,,,,,,Resistance,28,28,,,,,,,Tank,,,Male_Hair_2,Skin1,Male_Face2,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Pinkley,Small_LowDamage,,Unarmored,,,,,,Resistance,30,30,,,,,,,Tank,,,Male_Hair_1_black,Skin3,Male_Face2,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Vladek,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,,,Tank,,,,Skin5,Male_Face2,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Tankinator,Boss_Default,,Unarmored,,,,TRUE,,Labycore,9,9,RoboMissile,,Plans: Infiltrator's Shades,,Regular Minigun,,NPC_Robotank,,,,Robotank,,,,,,,,,,,,,,2000,4000,6000,6000,1000,2000,80,80,ExploRobot,TRUE,ExploRobot,TRUE,100,,VoBossDeathMechanical,,,,,,
,,,,,,,,,,,,RoboSlammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
