Name,ParentClass,ShowInQuickShop,Speed,DamageScaleMin,DamageScaleMax,ItemLevelModifier,Range,ArmorClassBonus,PushBack,LootScale,DefaultModel,DefaultMesh,DefaultModelTexture,PoorModelTexture,UncommonModelTexture,RareModel,RareMesh,RareModelTexture,EpicModel,EpicMesh,EpicModelTexture,SkillAnimation_AutoAttack,SkillAnimation_AimedShot,SkillAnimation_BoastShooting,SkillAnimation_LegShot,SkillAnimation_TraumaShot,SkillAnimation_Slammer,WalkAnimation,RunAnimation,IdleReadyAnimation,AttachmentBone,Sound,ShootDuration,ShootCount,SwingSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,EpicMeleeWeaponConstantTrail,Icon
Minigun,Machine Gun,,1000,7,11,,,,,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun.png,,,graphics/3d/weapons/weapons.SUP,mg_minigun06,graphics/3d/weapons/textures/minigun6_02.png,,,,AutoAttackMiniGun,ShootMinigun,ShootMinigun,ShootMinigun,ShootMinigun,,WalkMinigun,RunMinigun,IdleMinigunReady,minigun,Minigun,350,3,,Muzzle,Glow,,Tracer,,,126
,,,,,,,,,,,graphics/3d/weapons/weapons.SUP,mg_minigun02,graphics/3d/weapons/textures/minigun2.png,,,graphics/3d/weapons/weapons.SUP,mg_minigun05,graphics/3d/weapons/textures/minigun5_02.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,graphics/3d/weapons/weapons.SUP,mg_minigun03,graphics/3d/weapons/textures/minigun3.png,,,graphics/3d/weapons/weapons.SUP,mg_minigun04,graphics/3d/weapons/textures/minigun4_02.png,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Weapons,Minigun,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muzzle,Glow,,Tracer,,,
Gatling,Minigun,TRUE,,,,,,Armored,,130,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun.png,,,graphics/3d/weapons/weapons.SUP,mg_minigun06,graphics/3d/weapons/textures/minigun6_02.png,,,,AutoAttackMiniGun,ShootMinigun,ShootMinigun,ShootMinigun,ShootMinigun,,WalkMinigun,RunMinigun,IdleMinigunReady,minigun,Minigun,350,3,,Muzzle,Glow,,Tracer,,,126
50 cal Minigun,Minigun,,,,,,,Mechanical,,,graphics/3d/weapons/weapons2.SUP,50_cal_Minigun,graphics/3d/weapons/textures/50_cal_Minigun.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade cannon,Minigun,,,,,,,Armored,,,graphics/3d/weapons/weapons2.SUP,Homemade_cannon,graphics/3d/weapons/textures/homemade_cannon_01.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turrent Minigun,Minigun,,,,,,,Unarmored,,,graphics/3d/weapons/turret_weapon.SUP,turret_gun,graphics/3d/character/labycorp_textures/turret_gun_texture.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weldingbot Minigun,Minigun,,,,,,,Unarmored,,,graphics/3d/weapons/weldingbot_weapon.SUP,weldingbot_gun,graphics/3d/character/labycorp_textures/turret_gun_texture.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehousebot Minigun,Minigun,,,,,,,Unarmored,,,graphics/3d/weapons/special_weapons.SUP,warehousebot_gun,graphics/3d/weapons/textures/warehousebot_gun.png,,,,,,,,,,,,,,,,,,,HugeElectricHammerImpact,,,,,,,,,,
Battle Rifle,Rifle,,,,,,,Armored,,,graphics/3d/weapons/weapons.SUP,mg_battleRifle,graphics/3d/weapons/textures/battle_rifle.png,,,graphics/3d/weapons/weapons_rare.SUP,mg_battle_rifle_rare,graphics/3d/weapons/textures/mg_battle_rifle_rare_01.png,,,,AutoAttackRifle,ShootRifle2,ShootRifle2,ShootRifle1,ShootRifle2,,WalkRifle,RunRifle,IdleRifleReady,,BattleRifle,,,,,,,,,,66
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/mg_battle_rifle_rare_02.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/mg_battle_rifle_rare_03.png,,,,,,,,,,,,,,,,,,,,,,,,
Assault Rifle,Rifle,,,,,,,Unarmored,,,graphics/3d/weapons/weapons.SUP,mg_assaultRifle,graphics/3d/weapons/textures/assault_rifle.png,,,graphics/3d/weapons/weapons.SUP,labycore_g_gun,graphics/3d/weapons/textures/labycore_g_gun.png,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_01.png,,,,,,,,,,,AssaultRifle,,,,,,,,,,
,,,,,,,,,,,,,,,,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_02.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_03.png,,,,,,,,,,,,,,,,,,,,,,,,
Assault rifle 2,Rifle,,,,,,,Unarmored,,,graphics/3d/weapons/weapons2.SUP,Assault_rifle,graphics/3d/weapons/textures/assault_rifle_01.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.308 Bolt-Action,Sniper Rifle,,,,,,,Mechanical,,,graphics/3d/weapons/weapons.SUP,Sniper_03,graphics/3d/weapons/textures/sniper_03.png,,,graphics/3d/weapons/weapons_rare.SUP,sniper_03_rare,graphics/3d/weapons/textures/sniper_rare_03_01.png,,,,,,,,,,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_03_02.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_03_03.png,,,,,,,,,,,,,,,,,,,,,,,,
7.62mm Bolt-Action,Sniper Rifle,,,,,,,Unarmored,,,graphics/3d/weapons/weapons.SUP,Sniper_04,graphics/3d/weapons/textures/sniper_04.png,,,graphics/3d/weapons/weapons_rare.SUP,sniper_04_rare,graphics/3d/weapons/textures/sniper_rare_04_01.png,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper.png,,,,,,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_04_02.png,,,graphics/3d/weapons/textures/double_clip_sniper_02.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_04_03.png,,,graphics/3d/weapons/textures/double_clip_sniper_03.png,,,,,,,,,,,,,,,,,,,,,
7.62mm Recoil-based,Sniper Rifle,,,,,,,Armored,,,graphics/3d/weapons/weapons.SUP,Sniper_01,graphics/3d/weapons/textures/sniper_01.png,,,graphics/3d/weapons/weapons_rare.SUP,sniper_01_rare,graphics/3d/weapons/textures/sniper_rare_01_01.png,,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_01_02.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_01_03.png,,,,,,,,,,,,,,,,,,,,,,,,
7.62mm Gas-Operated,Sniper Rifle,,,,,,,Mechanical,,,graphics/3d/weapons/weapons.SUP,Sniper_02,graphics/3d/weapons/textures/sniper_02.png,,,graphics/3d/weapons/weapons_rare.SUP,sniper_02_rare,graphics/3d/weapons/textures/sniper_rare_02_01.png,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_02_02.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/sniper_rare_02_03.png,,,,,,,,,,,,,,,,,,,,,,,,
Next-Gen Sniper,Sniper Rifle,,,,,,,Mechanical,,,,,,,,,,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/double_clip_sniper_02.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,graphics/3d/weapons/textures/double_clip_sniper_03.png,,,,,,,,,,,,,,,,,,,,,
Sniper Rifle 2,Sniper Rifle,,,,,,,Mechanical,,,graphics/3d/weapons/weapons2.SUP,Sniper_rifle,graphics/3d/weapons/textures/dniper_rifle_01.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bot Sniper,Sniper Rifle,,,,,,,Unarmored,,,,,,,,,,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper.png,,,,,,,,,,,,,,,,,,,,,
Industrial assault rifle,Sniper Rifle,,,,,,,Armored,,,graphics/3d/weapons/weapons2.SUP,Industrial_assault_rifle,graphics/3d/weapons/textures/industrial_assault_rifle_01.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Rifle,Plasma Gun,,,,,,,Mechanical,,,graphics/3d/weapons/weapons.SUP,mg_assaultRifle,graphics/3d/weapons/textures/assault_rifle.png,,,graphics/3d/weapons/weapons.SUP,labycore_g_gun,graphics/3d/weapons/textures/labycore_g_gun.png,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_01.png,AutoAttackRifle,ShootRifle2,ShootRifle2,ShootRifle1,ShootRifle2,,WalkRifle,RunRifle,IdleRifleReady,,AssaultRifle,,,,,,,,,,76
Sonicgun,Plasma Gun,,,,,,,Unarmored,,130,graphics/3d/weapons/weapons.SUP,sonic_gun,graphics/3d/weapons/textures/sonic_gun_texture.png,,,,,,,,,AutoAttackSonicGun,Shoot_SonicGun_A,Shoot_SonicGun_B,Shoot_SonicGun_A,Shoot_SonicGun_B,,WalkSonicGun,RunMinigun,IdleSonicGun,minigun,Minigun,500,,,sonic_burst_muzzle,,SonicAuto,Tracer_sonic,,,76
SonicGun_pc,Plasma Gun,,,,,,,Unarmored,,130,graphics/3d/weapons/weapons.SUP,sonic_gun,graphics/3d/weapons/textures/sonic_gun_texture.png,,,,,,,,,Shoot_SonicGun,Shoot_SonicGun,Shoot_SonicGun,Shoot_SonicGun,Shoot_SonicGun,,WalkMinigun,RunMinigun,IdleMinigunReady,minigun,SonicGun,300,,,sonic_burst_muzzle,,SonicAuto,Tracer_sonic,,,76
Old industrial plasma gun,Plasma Gun,,,,,,,Mechanical,,,graphics/3d/weapons/weapons2.SUP,Old_industrial_plasma_gun,graphics/3d/weapons/textures/old_industrial_plasma_gun_01.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old plasma gun,Plasma Gun,,,,,,,Armored,,,graphics/3d/weapons/weapons2.SUP,Old_plasma_gun,graphics/3d/weapons/textures/old_plasma_gun_01.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma,Plasma Gun,TRUE,,,,,,Armored,,,,,,,,,,,,,,AutoAttackRifle,ShootRifle2,ShootRifle2,ShootRifle1,ShootRifle2,,WalkRifle,RunRifle,IdleRifleReady,,PlasmaRifle,,1,,Muzzle_plasma,Glow,,Trail_plasma,,,56
SonicGun_npc,Plasma Gun,,,,,,,Unarmored,,130,graphics/3d/weapons/weapons.SUP,sonic_gun,graphics/3d/weapons/textures/sonic_gun_texture.png,,,,,,,,,ShootMinigun,ShootMinigun,ShootMinigun,ShootMinigun,ShootMinigun,,WalkMinigun,RunMinigun,IdleMinigunReady,minigun,SonicGun,300,,,sonic_burst_muzzle,,SonicAuto,Tracer_sonic,,,76
Flame Thrower,Ranged Weapon,,1000,10,12,,80,,,150,graphics/3d/weapons/weapons.SUP,flamethrower_1,graphics/3d/weapons/textures/flamethrower_1.png,,,,,,,,,FlameThrower,FlameThrower,FlameThrower,FlameThrower,FlameThrower,,WalkRifle,RunRifle,IdleRifleReady,rifle,BarrelOnFire,,,,muzzle_heal,QuickShot,,,,,71
Bazooka,Ranged Weapon,,1000,10,12,,80,,,130,graphics/3d/weapons/weapons.SUP,launcher,graphics/3d/weapons/textures/launcher.png,,,,,,,,,AutoAttackHits,AutoAttackHits,AutoAttackHits,AutoAttackHits,AutoAttackHits,,Walk,Run,Idle,launcher,MissileLaunch,,,,Muzzle,Glow,,,,,71
Rocket launcher,Bazooka,,,,,,,,,,graphics/3d/weapons/weapons2.SUP,Rocket_launcher,graphics/3d/weapons/textures/rocket_launcher_01.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antitank launcher,Bazooka,,,,,,,,,,graphics/3d/weapons/weapons2.SUP,Antitank_launcher,graphics/3d/weapons/textures/antitank_launcher_02.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic launcher,Bazooka,,,,,,,,,,graphics/3d/weapons/weapons2.SUP,Generic_launcher,graphics/3d/weapons/textures/generic_launcher_03.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handcannon,Bazooka,,,,,,,,,,graphics/3d/weapons/weapons2.SUP,Handcannon,graphics/3d/weapons/textures/handcannon.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,Melee Weapon,TRUE,500,1,2,,,,,120,graphics/3d/weapons/weapons.SUP,blades_katana,graphics/3d/weapons/textures/katana.png,,,graphics/3d/weapons/weapons.SUP,extended_cleaver,graphics/3d/weapons/textures/extended_cleaver.png,,,,,,,,,,,,,,Bat,,,MeleeSwing,,,,,,,204
Unarmed_Burn,Unarmed,,700,6,10,,,,,,graphics/3d/weapons/weapons.SUP,flat_iron,graphics/3d/weapons/textures/katana.png,,,,,,,,,AutoAttackUnarmed,,,,,,Walk 1-handed weapon,Die_RunBurning,Idle,,,,,,,,,,,,26
Ant,Unarmed,,700,6,10,,,,,,,,,,,,,,,,,AutoAttackUnarmed,,,,,,Walk 1-handed weapon,Run 1-handed weapon,Idle,,SwordHit,,,VoGiantAntAttack,,,,,,,
Dog,Unarmed,,700,6,10,,,,,,,,,,,,,,,,,AutoAttackUnarmed,,,,,,Walk 1-handed weapon,Run 1-handed weapon,Idle,,SwordHit,,,VoDogAttack,,,,,,,
Lizard,Unarmed,,700,6,10,,,,,,,,,,,,,,,,,AutoAttackUnarmed,,,,,,Walk 1-handed weapon,Run 1-handed weapon,Idle,,SwordHit,,,VoLizardAttack,,,,,,,
AntQueen,Unarmed,,700,6,10,,,,,,,,,,,,,,,,,AutoAttackUnarmed,,,,,,Walk 1-handed weapon,Run 1-handed weapon,Idle,,SwordHit,,,VoQueenAntAttack,,,,,,,
Pig Dynamite,Unarmed,,,,,,,,,150,graphics/3d/weapons/pig_dynamite.SUP,dynamite,graphics/3d/character/animals/pig_texture.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Weapon,Ranged Weapon,,,,,220,,,,100,,,,,,,,,,,,AutoAttackPistol,,,,,,WalkRifle,RunRifle,IdleRifleReady,rifle,,,,,Muzzle,Glow,,Tracer,,,
Special Weapon: Insta-Healer,Ranged Weapon,false,400,6,10,190,120,Unarmored,,150,graphics/3d/weapons/weapons.SUP,healing_gun,graphics/3d/weapons/textures/healing_gun.png,,,,,,,,,AutoAttackPistol,ShootPistol3,ShootPistol2,ShootPistol1,ShootPistol3,,Walk 1-handed weapon,Run 1-handed weapon,IdlePistolReady,pistol,Pistol,,,,Muzzle,Glow,,Tracer,,,46
Laser,Pistol,,,,,,,Armored,,,,,,,,,,,,,,,,,,,,,,,,LaserGun,,3,,Muzzle_laser,Glow,Laser,Trail_laser,,,
Special Weapon: Prolonger,Ranged Weapon,false,400,3,5,190,145,Unarmored,,150,graphics/3d/weapons/weapons.SUP,healing_gun,graphics/3d/weapons/textures/healing_gun.png,,,,,,,,,AutoAttackRifle,ShootRifle2,ShootRifle2,ShootRifle1,ShootRifle2,,WalkRifle,RunRifle,IdleRifleReady,rifle,AssaultRifle,,,,Muzzle,Glow,,Tracer,,,46
Healing Gun,Medical Weapon,false,400,3,5,190,120,Unarmored,,150,graphics/3d/weapons/weapons.SUP,healing_gun,graphics/3d/weapons/textures/healing_gun.png,,,,,,,,,AutoAttackPistol,ShootPistol3,ShootPistol2,ShootPistol1,ShootPistol3,,Walk 1-handed weapon,Run 1-handed weapon,IdlePistolReady,pistol,Pistol,,,,Muzzle,Glow,,Tracer,,,46
Special Weapon: Area-Healer,Ranged Weapon,,350,5,7,190,130,Unarmored,,150,graphics/3d/weapons/weapons.SUP,healing_gun,graphics/3d/weapons/textures/healing_gun.png,,,,,,,,,AutoAttackRifle,ShootRifle2,ShootRifle2,ShootRifle1,ShootRifle2,,WalkRifle,RunRifle,IdleRifleReady,rifle,AssaultRifle,,,,Muzzle,Glow,,Tracer,,,
Special Weapon: Wasp,Ranged Weapon,,350,6,8,190,110,Unarmored,,150,,,,,,,,,,,,AutoAttackPistol,ShootPistol3,ShootPistol2,ShootPistol1,ShootPistol3,,Walk 1-handed weapon,Run 1-handed weapon,IdlePistolReady,pistol,Pistol,,,,,,,,,,
Special Weapon: Firefly,Ranged Weapon,,900,7,10,,100,Armored,,150,,,,,,,,,,,,AutoAttackRifle,ShootRifle2,ShootRifle2,ShootRifle1,ShootRifle2,,WalkRifle,RunRifle,IdleRifleReady,rifle,AssaultRifle,,,,,,,,,,
Special Weapon: Leviathan,Ranged Weapon,,1200,8,10,,145,Mechanical,,150,,,,,,,,,,,,AutoAttackRifle,ShootRifle2,ShootRifle2,ShootRifle1,ShootRifle2,,WalkRifle,RunRifle,IdleRifleReady,rifle,AssaultRifle,,,,,,,,,,
Special Weapon: Rampage,Melee Weapon,,640,8,9,,,Unarmored,,150,,,,,,,,,,,,AutoAttackChainSaw,,,,,,WalkMinigun,RunMinigun,IdleMinigunReady,minigun,Chainsaw,,,MeleeSharpSwing,,,,,,,
Special Weapon: Bulwark,Melee Weapon,,700,8,11,,,Armored,,150,,,,,,,,,,,,AutoAttackSpear,SpearC,SpearB,SpearA,SpearC,,WalkSpear,RunSpear,IdleSpearReady,spear,SwordHit,,,MeleeSharpSwing,,,,,,,
Special Weapon: Hurricane,Melee Weapon,,600,7,10,,,Mechanical,,150,,,,,,,,,,,,AutoAttackSpear,SpearC,SpearB,SpearA,SpearC,,WalkSpear,RunSpear,IdleSpearReady,spear,SwordHit,,,MeleeSharpSwing,,,,,,,46
Special Scythe,2-handed Basher,,,8,12,,,Unarmored,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
