Name,ArmorClassBonus,WeaponClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Tier,Enhancement,DropOnlyTo,Model,Mesh,ModelTexture,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,Icon,PostToSocialNetworks,DiamondCostExact,PlaceableInEditor
Old Rusty Pistol,Unarmored,.32 Pistol,1,Uncommon,,TRUE,,,,graphics/3d/weapons/weapons.SUP,.32 cal,graphics/3d/weapons/textures/032cal_diffuse.png,,,,,,,,,,,,,,,,TRUE
Fire Up,Armored,Six-shooter,30,Epic,,TRUE,2,of the Judgment,,graphics/3d/weapons/weapons_rare.SUP,magnum_rare,graphics/3d/weapons/textures/magnum_rare_03.png,,12,,,,,,,,,,,,,,
Lifebringer [Insta-Healer],Unarmored,Special Weapon: Insta-Healer,30,Epic,,TRUE,2,of Capacity,Doctor,graphics/3d/weapons/weapons.SUP,healing_gun,graphics/3d/weapons/textures/healing_gun.png,,5,,,,,,,,,,,46,,,
Six Saver [Insta-Healer],Armored,Special Weapon: Insta-Healer,30,Rare,,TRUE,,of Brightness,Doctor,graphics/3d/weapons/weapons_rare.SUP,magnum_rare,graphics/3d/weapons/textures/40cal_rare_03.png,,,,,,,,,,,,,46,,,
Used 9mm Pistol,Unarmored,9mm Pistol,6,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,9mm,graphics/3d/weapons/textures/9mm_diffuse.png,,,,,,,,,,,,,,,,
Deathbringer [Firefly],Unarmored,Special Weapon: Firefly,30,Epic,TRUE,TRUE,5,of the Assassin,Hunter,graphics/3d/weapons/weapons2.SUP,Industrial_assault_rifle,graphics/3d/weapons/textures/assault_rifle_02.png,,7,,,,,,,,,,,,,,
Breathtaker [Wasp],Mechanical,Special Weapon: Wasp,30,Rare,,TRUE,,of the Troublemaker,Hunter,graphics/3d/weapons/weapons.SUP,auto_pistol,graphics/3d/weapons/textures/auto_pistol_02.png,,,,,,,,,,,,,49,,,
Ordinary 9mm,Unarmored,9mm Pistol,9,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,9mm,graphics/3d/weapons/textures/beretta9mm.png,,,,,,,,,,,,,,,,
Stardust [Insta-Healer],Unarmored,Special Weapon: Insta-Healer,30,Epic,TRUE,TRUE,5,of the Troublemaker,Doctor,graphics/3d/weapons/weapons_rare.SUP,Browning_high_power_rare,graphics/3d/weapons/textures/browning_high_power_rare_02.png,,,,,,,,,,,,,46,,,
Fulmar [Insta-Healer],Unarmored,Special Weapon: Insta-Healer,30,Epic,,TRUE,1,of Brightness,Doctor,graphics/3d/weapons/weapons_rare.SUP,Browning_high_power_rare,graphics/3d/weapons/textures/browning_high_power_rare_03.png,,2,,,,,,,,,,,46,,,
Labycore Proto Pistol,Mechanical,Labytech Pistol,30,Uncommon,,TRUE,,,,graphics/3d/weapons/weapons.SUP,auto_pistol,graphics/3d/weapons/textures/colt_autoload.png,,,,,,,,,,,,,,,,
Deadly Whisper [Wasp],Unarmored,Special Weapon: Wasp,30,Epic,TRUE,TRUE,5,of Capacity,Hunter,graphics/3d/weapons/weapons_rare.SUP,colt_autoload_rare,graphics/3d/weapons/textures/colt_autoload_rare_01.png,,10,,,,,,,,,,,50,,,
Deadly Shout [Wasp],Unarmored,Special Weapon: Wasp,30,Epic,,TRUE,3,of the Assassin,Hunter,graphics/3d/weapons/weapons_rare.SUP,colt_autoload_rare,graphics/3d/weapons/textures/colt_autoload_rare_02.png,,8,,,,,,,,,,,50,,,
Deadly Scream [Wasp],Unarmored,Special Weapon: Wasp,30,Epic,TRUE,TRUE,5,of the Troublemaker,Hunter,graphics/3d/weapons/weapons_rare.SUP,colt_autoload_rare,graphics/3d/weapons/textures/colt_autoload_rare_03.png,,6,,,,,,,,,,,49,,,
Punk Killer,Armored,Revolver,4,Uncommon,,TRUE,,,,graphics/3d/weapons/weapons.SUP,eagle,graphics/3d/weapons/textures/eagle_03.png,,,,,,,,,,,,,,,,
Nice Six Shooter,Armored,Revolver,7,Uncommon,,TRUE,,,,graphics/3d/weapons/weapons.SUP,magnum,graphics/3d/weapons/textures/homemadegun.png,,,,,,,,,,,,,,,,
Little Kelly,Armored,Minigun,11,Uncommon,TRUE,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_minigun04,graphics/3d/weapons/textures/mg4.png,,,,,,,,,,,,,,,,
Lightbringer [Area-Healer],Armored,Special Weapon: Area-Healer,30,Rare,,TRUE,,of the Ambusher,Doctor,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_03.png,,12,,,,,,,,,,,31,,,
Golden Angel [Area-Healer],Armored,Special Weapon: Area-Healer,30,Epic,,TRUE,4,of Brightness,Doctor,graphics/3d/weapons/weapons_rare.SUP,mg_battle_rifle_rare,graphics/3d/weapons/textures/mg_battle_rifle_rare_03.png,,14,,,,,,,,,,,31,,,
Airbender,Armored,Minigun,10,Rare,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun.png,,,,,,,,,,,,,,,,
Blightstopper,Armored,Minigun,14,Rare,TRUE,TRUE,,of the Hunter,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun2.png,,,,,,,,,,,,,,,,
Deathdisk,Armored,Minigun,18,Rare,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun5.png,,,,,,,,,,,,,,,,
Gorebuster,Armored,Minigun,22,Rare,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun5_02.png,,,,,,,,,,,,,,,,
Longrattler,Armored,Minigun,26,Rare,,TRUE,,of the Hunter,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun6.png,,,,,,,,,,,,,,,,
Zap Gone,Armored,Minigun,28,Rare,TRUE,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun6_02.png,,,,,,,,,,,,,,,,
Big Martha,Armored,Minigun,30,Rare,TRUE,TRUE,,of Brightness,,graphics/3d/weapons/weapons.SUP,mg_minigun,graphics/3d/weapons/textures/minigun_02.png,,6,,,,,,,,,,,,,,
Moon Owl [Prolonger],Mechanical,Special Weapon: Prolonger,30,Epic,TRUE,TRUE,4,of Brightness,Doctor,graphics/3d/weapons/weapons.SUP,ops_shotgun,graphics/3d/weapons/textures/ops_shotgun_02.png,,,,,,,,,,,,,56,,,
Labycore Proto Shotgun,Mechanical,SWAT Shotgun,30,Uncommon,,TRUE,,of the Hunter,,graphics/3d/weapons/weapons.SUP,ops_shotgun,graphics/3d/weapons/textures/ops_shotgun_03.png,,,,,,,,,,,,,,,,
Deadhunter [Firefly],Unarmored,Special Weapon: Firefly,30,Rare,,TRUE,,of the Painmaker,Hunter,graphics/3d/weapons/weapons_rare.SUP,shotgun_10gauge_rare,graphics/3d/weapons/textures/shotgun_10gauge_rare_01.png,,4,,,,,,,,,,,,,,
Manhunter [Firefly],Unarmored,Special Weapon: Firefly,30,Epic,,TRUE,1,of Rationality,Hunter,graphics/3d/weapons/weapons_rare.SUP,shotgun_10gauge_rare,graphics/3d/weapons/textures/shotgun_10gauge_rare_02.png,,,,,,,,,,,,,,,,
Sun Owl [Prolonger],Unarmored,Special Weapon: Prolonger,30,Epic,,TRUE,3,of Intuition,Doctor,graphics/3d/weapons/weapons_rare.SUP,shotgun_10gauge_rare,graphics/3d/weapons/textures/shotgun_10gauge_rare_03.png,,,,,,,,,,,,,56,,,
The Judge [Firefly],Unarmored,Special Weapon: Firefly,30,Epic,,TRUE,3,of the Ambusher,Hunter,graphics/3d/weapons/weapons_rare.SUP,shotgun_doubleBarreled_rare,graphics/3d/weapons/textures/shotgun_doublebarreled_rare_01.png,,,,,,,,,,,,,,,,
Stunmaster,Unarmored,12ga Double Barrel,30,Rare,,TRUE,,of Rationality,,graphics/3d/weapons/weapons_rare.SUP,shotgun_doubleBarreled_rare,graphics/3d/weapons/textures/shotgun_doublebarreled_rare_02.png,,,,,,,,,,,,,,,,
Kauna,Unarmored,20ga Shotgun,30,Epic,TRUE,TRUE,4,of the Ambusher,,graphics/3d/weapons/weapons_rare.SUP,shotgun_singleBarreled_rare,graphics/3d/weapons/textures/shotgun_singlebarreled_rare_02.png,,2,,,,,,,,,,,,,,
Snow Owl [Prolonger],Armored,Special Weapon: Prolonger,30,Epic,,TRUE,1,of 6th Sense,Doctor,graphics/3d/weapons/weapons_rare.SUP,shotgun_singleBarreled_rare,graphics/3d/weapons/textures/shotgun_singlebarreled_rare_03.png,,20,,,,,,,,,,,56,,,
Bolt-Action Sniper,Unarmored,7.62mm Bolt-Action,5,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,Sniper_02,graphics/3d/weapons/textures/sniper_02.png,,,,,,,,,,,,,,,,
7.62mm Common Sniper,Unarmored,7.62mm Bolt-Action,10,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,Sniper_03,graphics/3d/weapons/textures/sniper_03.png,,,,,,,,,,,,,,,,
Terralash,Mechanical,Next-Gen Sniper,30,Rare,TRUE,TRUE,2,of Intuition,,graphics/3d/weapons/weapons_rare.SUP,Sniper_01_rare,graphics/3d/weapons/textures/sniper_rare_01_01.png,,4,,,,,,,,,,,,,,
Terrakill,Mechanical,Next-Gen Sniper,30,Epic,TRUE,TRUE,3,of Capacity,,graphics/3d/weapons/weapons_rare.SUP,Sniper_01_rare,graphics/3d/weapons/textures/sniper_rare_01_02.png,,2,,,,,,,,,,,,,,
White Eagle [Area-Healer],Mechanical,Special Weapon: Area-Healer,30,Epic,,TRUE,,of Health,Doctor,graphics/3d/weapons/weapons_rare.SUP,Sniper_01_rare,graphics/3d/weapons/textures/sniper_rare_01_03.png,,5,,,,,,,,,,,42,,,
Deviscerator [Leviathan],Unarmored,Special Weapon: Leviathan,30,Rare,,TRUE,,of the Predator,Hunter,graphics/3d/weapons/weapons_rare.SUP,Sniper_02_rare,graphics/3d/weapons/textures/sniper_rare_02_01.png,,6,,,,,,,,,,,42,,,
Incinerator [Leviathan],Unarmored,Special Weapon: Leviathan,30,Epic,,TRUE,1,of the Painmaker,Hunter,graphics/3d/weapons/weapons_rare.SUP,Sniper_02_rare,graphics/3d/weapons/textures/sniper_rare_02_02.png,,1,,,,,,,,,,,42,,,
Obliterator [Leviathan],Unarmored,Special Weapon: Leviathan,30,Epic,,TRUE,2,of the Predator,Hunter,graphics/3d/weapons/weapons_rare.SUP,Sniper_02_rare,graphics/3d/weapons/textures/sniper_rare_02_03.png,,4,,,,,,,,,,,42,,,
Undertaker [Leviathan],Armored,Special Weapon: Leviathan,30,Epic,,TRUE,3,of the Legend,Hunter,graphics/3d/weapons/weapons_rare.SUP,Sniper_03_rare,graphics/3d/weapons/textures/sniper_rare_03_01.png,,8,,,,,,,,,,,42,,,
Blood Owl [Prolonger],Armored,Special Weapon: Prolonger,30,Epic,,TRUE,1,of the Legend,Doctor,graphics/3d/weapons/weapons_rare.SUP,Sniper_03_rare,graphics/3d/weapons/textures/sniper_rare_03_02.png,,2,,,,,,,,,,,42,,,
Silver Owl [Prolonger],Armored,Special Weapon: Prolonger,30,Epic,,TRUE,2,of 6th Sense,Doctor,graphics/3d/weapons/weapons_rare.SUP,Sniper_03_rare,graphics/3d/weapons/textures/sniper_rare_03_03.png,,2,,,,,,,,,,,42,,,
Omenfreezer,Unarmored,7.62mm Bolt-Action,30,Rare,,TRUE,,of the Predator,,graphics/3d/weapons/weapons_rare.SUP,Sniper_04_rare,graphics/3d/weapons/textures/sniper_rare_04_01.png,,9,,,,,,,,,,,,,,
Iron Maiden [Area-Healer],Mechanical,Special Weapon: Area-Healer,30,Epic,TRUE,TRUE,5,of Brightness,Doctor,graphics/3d/weapons/weapons_rare.SUP,Sniper_04_rare,graphics/3d/weapons/textures/sniper_rare_04_03.png,,10,,,,,,,,,,,42,,,
Crowd Control Infector Pistol,Armored,Labytech Pistol,30,Epic,,TRUE,1,of the Painmaker,,graphics/3d/weapons/weapons.SUP,auto_pistol,graphics/3d/weapons/textures/auto_pistol_02.png,,5,,,,,,,,,,,,,,
Hyperblaster Rifle,Unarmored,Assault Rifle,30,Epic,,TRUE,1,of the Predator,,graphics/3d/weapons/weapons2.SUP,Industrial_assault_rifle,graphics/3d/weapons/textures/assault_rifle_02.png,,3,,,,,,,,,,,,,,
Single-shot Terraripper,Unarmored,Next-Gen Sniper,30,Epic,,TRUE,1,of the Legend,,graphics/3d/weapons/weapons_rare.SUP,Sniper_01_rare,graphics/3d/weapons/textures/sniper_rare_01_03.png,,12,,,,,,,,,,,,,,
High-power Megadestroyer,Armored,20ga Shotgun,30,Epic,,TRUE,1,of Brightness,,graphics/3d/weapons/weapons2.SUP,Generic_launcher,graphics/3d/weapons/textures/generic_launcher_03.png,,3,,,,,,,,,,,,,,
Mama [Area-Healer],Mechanical,Special Weapon: Area-Healer,30,Epic,,TRUE,2,of Intuition,Doctor,graphics/3d/weapons/weapons2.SUP,Generic_launcher,graphics/3d/weapons/textures/generic_launcher_03.png,,,,,,,,,,,,,32,,,
Liberator [Leviathan],Unarmored,Special Weapon: Leviathan,30,Epic,TRUE,TRUE,5,of the Predator,Hunter,graphics/3d/weapons/weapons_rare.SUP,Sniper_02_rare,graphics/3d/weapons/textures/sniper_rare_02_02.png,,4,,,,,,,,,,,42,,,
Murska [Firefly],Unarmored,Special Weapon: Firefly,30,Epic,TRUE,TRUE,5,of the Painmaker,Hunter,graphics/3d/weapons/weapons_rare.SUP,shotgun_10gauge_rare,graphics/3d/weapons/textures/shotgun_10gauge_rare_01.png,,4,,,,,,,,,,,,,,
Spacemelter,Armored,Plasma,30,Epic,TRUE,TRUE,5,of the Judgment,,graphics/3d/weapons/weapons2.SUP,Old_industrial_plasma_gun,graphics/3d/weapons/textures/old_industrial_plasma_gun_02.png,,2,,,,,,,,,,,,,,
Painfinder,Armored,Plasma,30,Epic,,TRUE,2,of the Judgment,,graphics/3d/weapons/weapons2.SUP,Old_industrial_plasma_gun,graphics/3d/weapons/textures/old_industrial_plasma_gun_01.png,,2,,,,,,,,,,,,,,
Eliminator Equalizer,Unarmored,Battle Rifle,10,Epic,,TRUE,,of the Assassin,,graphics/3d/weapons/weapons_rare.SUP,mg_battle_rifle_rare,graphics/3d/weapons/textures/mg_battle_rifle_rare_02.png,TRUE,5,,,,,,,,,,,,,,
Healeranoid [Insta-Healer],Unarmored,Special Weapon: Insta-Healer,30,Rare,,TRUE,1,of Brightness,Doctor,graphics/3d/weapons/weapons_rare.SUP,Browning_high_power_rare,graphics/3d/weapons/textures/browning_high_power_rare_02.png,,,,,,,,,,,,,46,,,
Unstable [Wasp],Unarmored,Special Weapon: Wasp,30,Rare,,TRUE,1,of the Hunter,Hunter,graphics/3d/weapons/weapons_rare.SUP,colt_autoload_rare,graphics/3d/weapons/textures/colt_autoload_rare_01.png,,10,,,,,,,,,,,50,,,
Astroblender [Firefly],Unarmored,Special Weapon: Firefly,30,Epic,,TRUE,3,of the Assassin,Hunter,graphics/3d/weapons/weapons_rare.SUP,shotgun_10gauge_rare,graphics/3d/weapons/textures/shotgun_10gauge_rare_02.png,,,,,,,,,,,,,,,,
Articulated Insulter [Area-Healer],Mechanical,Special Weapon: Area-Healer,30,Epic,,TRUE,3,of Intuition,Doctor,graphics/3d/weapons/weapons_rare.SUP,Sniper_01_rare,graphics/3d/weapons/textures/sniper_rare_01_03.png,,5,,,,,,,,,,,42,,,
Minty Ultrasonic [Leviathan],Armored,Special Weapon: Leviathan,30,Epic,,TRUE,3,of the Assassin,Hunter,graphics/3d/weapons/weapons_rare.SUP,Sniper_03_rare,graphics/3d/weapons/textures/sniper_rare_03_01.png,,8,,,,,,,,,,,42,,,
Motor Sneezer [Prolonger],Armored,Special Weapon: Prolonger,30,Epic,,TRUE,3,of Determination,Doctor,graphics/3d/weapons/weapons_rare.SUP,Sniper_03_rare,graphics/3d/weapons/textures/sniper_rare_03_02.png,,2,,,,,,,,,,,42,,,
