Name,ConsumableItemClass,RequiredWeaponClass,DropOnlyTo,RequiredLevel,MinDamage,MaxDamage,MaxScaledLevel,MinScaledDamage,MaxScaledDamage,Rarity,ShopRecommend,DontScaleStarRating,LootDisabled,DiamondsOnly,DiamondCostExact,LootMinLevel,LootMaxLevel,PlaceableInEditor,AlwaysOnVendor,LootResource,LootExportName,EnergyCost,HealthCost,Projectile,TargetFilter,Range,Threat,Cast,AoeRadius,AoeFilter,MinEnergy,MaxEnergy,PushBack,Animation,WeaponClassAnimation,SpecialWeapon,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffExperience,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffCredibility,BuffEnergy,BuffDamage,ScaledBuffDamage,BuffEffect,FBSpecialReward,FBWallPostIcon
Health Boost,Medikit,,,6,-300,-400,,,,Uncommon,,,TRUE,,200,6,10,,TRUE,graphics/loot/loot_box1.swf,LootMedikit_high,,,,self,,,,,,,,,,,,98,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Health Boost,Medikit,,,11,-600,-750,,,,Uncommon,,,TRUE,,200,11,15,,TRUE,graphics/loot/loot_box1.swf,LootMedikit_high,,,,self,,,,,,,,,,,,99,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Health Boost,Medikit,,,16,-900,-1200,,,,Uncommon,,,TRUE,,200,16,20,,TRUE,graphics/loot/loot_box1.swf,LootMedikit_high,,,,self,,,,,,,,,,,,100,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Health Boost,Medikit,,,21,-1500,-1800,,,,Uncommon,,,TRUE,,200,21,25,,TRUE,graphics/loot/loot_box1.swf,LootMedikit_high,,,,self,,,,,,,,,,,,101,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Health Boost,Medikit,,,26,-2000,-2400,,,,Uncommon,,,TRUE,,200,26,30,,TRUE,graphics/loot/loot_box1.swf,LootMedikit_high,,,,self,,,,,,,,,,,,102,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Energy Boost,Energizer,,,6,,,,,,Uncommon,,,,,250,6,15,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack_high,,,,self,,,,,,160,160,,,,,103,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,8000,,,,,,,,,,,,,,,50,,,,,
Big Hi-Energy Boost,Energizer,,,11,,,,,,Uncommon,,,TRUE,,250,11,15,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack_high,,,,self,,,,,,180,180,,,,,104,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,8000,,,,,,,,,,,,,,,60,,,,,
Great Hi-Energy Boost,Energizer,,,16,,,,,,Uncommon,,,,,250,16,25,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack_high,,,,self,,,,,,200,200,,,,,105,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,8000,,,,,,,,,,,,,,,80,,,,,
Greater Hi-Energy Boost,Energizer,,,21,,,,,,Uncommon,,,TRUE,,250,21,25,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack_high,,,,self,,,,,,220,220,,,,,106,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,8000,,,,,,,,,,,,,,,100,,,,,
Superior Hi-Energy Boost,Energizer,,,26,,,,,,Uncommon,,,,,250,26,30,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack_high,,,,self,,,,,,240,240,,,,,107,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,8000,,,,,,,,,,,,,,,120,,,,,
Flame Thrower,Special Weapon,,,7,20,40,16,25,45,Rare,TRUE,,TRUE,,600,7,11,,TRUE,graphics/loot/loot_box1.swf,LootShuriken,,,,enemy,,40,,30,enemy,,,,FlameThrower,,Flame Thrower Type: LAB-001,37,TID_TOOLTIP_CONSUMABLE_FLAMETHROWER,,FlameThrower,FireLooping,FlameThrower,,,,,,,,5000,,,,,,,,,,,,,,,,250,,ThrowerFireLooping,,
Big Flame Thrower,Special Weapon,,,12,30,60,,,,Rare,,,TRUE,,600,12,16,,TRUE,graphics/loot/loot_box1.swf,LootShuriken,,,,enemy,,40,,30,enemy,,,,FlameThrower,,Flame Thrower Type: LAB-001,38,TID_TOOLTIP_CONSUMABLE_FLAMETHROWER,,FlameThrower,FireLooping,FlameThrower,,,,,,,,5000,,,,,,,,,,,,,,,,350,,ThrowerFireLooping,,
Great Flame Thrower,Special Weapon,,,17,50,100,26,60,110,Rare,TRUE,,TRUE,,600,17,21,,TRUE,graphics/loot/loot_box1.swf,LootShuriken,,,,enemy,,40,,30,enemy,,,,FlameThrower,,Flame Thrower Type: LAB-001,39,TID_TOOLTIP_CONSUMABLE_FLAMETHROWER,,FlameThrower,FireLooping,FlameThrower,,,,,,,,5000,,,,,,,,,,,,,,,,500,,ThrowerFireLooping,,
Greater Flame Thrower,Special Weapon,,,22,50,100,,,,Rare,,,TRUE,,600,22,27,,TRUE,graphics/loot/loot_box1.swf,LootShuriken,,,,enemy,,40,,30,enemy,,,,FlameThrower,,Flame Thrower Type: LAB-001,40,TID_TOOLTIP_CONSUMABLE_FLAMETHROWER,,FlameThrower,FireLooping,FlameThrower,,,,,,,,5000,,,,,,,,,,,,,,,,750,,ThrowerFireLooping,,
Super Flame Thrower,Special Weapon,,,27,140,280,30,150,300,Rare,TRUE,,TRUE,,600,28,30,,TRUE,graphics/loot/loot_box1.swf,LootShuriken,,,,enemy,,40,,30,enemy,,,,FlameThrower,,Flame Thrower Type: LAB-001,41,TID_TOOLTIP_CONSUMABLE_FLAMETHROWER,,FlameThrower,FireLooping,FlameThrower,,,,,,,,5000,,,,,,,,,,,,,,,,1000,,ThrowerFireLooping,,
Small Energy Surprise (Group),Energizer,,,1,,,,,,Rare,,,TRUE,,600,1,1,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,35,450,80,self+friendly,70,90,,Throw,,,109,TID_TOOLTIP_CONSUMABLE_ENERGYBOMB,StimulantActivation3,,ShockBlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Surprise (Group),Energizer,,,1,,,,,,Rare,,,TRUE,,600,1,12,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,35,450,80,self+friendly,80,129,,Throw,,,110,TID_TOOLTIP_CONSUMABLE_ENERGYBOMB,StimulantActivation3,,ShockBlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Energy Surprise (Group),Energizer,,,11,,,,,,Rare,,,TRUE,,600,12,12,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,35,450,80,self+friendly,90,130,,Throw,,,111,TID_TOOLTIP_CONSUMABLE_ENERGYBOMB,StimulantActivation3,,ShockBlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Energy Surprise (Group),Energizer,,,13,,,,,,Rare,,,TRUE,,600,13,24,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,35,450,80,self+friendly,100,140,,Throw,,,112,TID_TOOLTIP_CONSUMABLE_ENERGYBOMB,StimulantActivation3,,ShockBlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Energy Surprise (Group),Energizer,,,21,,,,,,Rare,,,TRUE,,600,24,24,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,35,450,80,self+friendly,110,150,,Throw,,,113,TID_TOOLTIP_CONSUMABLE_ENERGYBOMB,StimulantActivation3,,ShockBlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Energy Surprise (Group),Energizer,,,25,,,,,,Rare,,,TRUE,TRUE,100,25,30,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,35,450,80,self+friendly,220,300,,Throw,,,114,TID_TOOLTIP_CONSUMABLE_ENERGYBOMB,StimulantActivation3,,ShockBlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Energy,Stimulant,,,1,,,,,,Uncommon,,,TRUE,,300,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,71,TID_TOOLTIP_CONSUMABLE_EXTENDEDENERGY,StimulantActivation,Skill_FX_Supporter,,,,,,,,,,2700000,,,,,,,,,,25,,,,,,,,,,
Better Aim,Stimulant,,,1,,,,,,Uncommon,,,TRUE,,300,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,85,TID_TOOLTIP_CONSUMABLE_BETTERAIM,StimulantActivation,Skill_FX_Frantic_Mind,,,,,,,,,,2700000,,,,,,,,,,,25,,,,,,,,,
Muscle Boost,Stimulant,,,1,,,,,,Uncommon,,,TRUE,,300,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,69,TID_TOOLTIP_CONSUMABLE_MUSCLEBOOST,StimulantActivation2,,,,,,,,,,,2700000,,,,,,,,,,,,25,,,,,,,,
Stamina Boost,Stimulant,,,1,,,,,,Uncommon,,,TRUE,,300,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,70,TID_TOOLTIP_CONSUMABLE_STAMINABOOST,StimulantActivation2,,,,,,,,,,,2700000,,,,,,,,,,,,,25,,,,,,,
Credible Looks,Stimulant,,,1,,,,,,Uncommon,,,TRUE,,300,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,87,TID_TOOLTIP_CONSUMABLE_CREDIBLELOOKS,StimulantActivation3,,,,,,,,,,,2700000,,,,,,,,,,,,,,25,,,,,,
Extended Energy (Group),Stimulant,,,1,,,,,,Rare,,,TRUE,,600,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,100,self+friendly,,,,,,,75,TID_TOOLTIP_CONSUMABLE_EXTENDEDENERGYG,StimulantActivation,Skill_FX_Supporter,Skill_FX_Supporter_Target,,,,,,,,,2700000,,,,,,,,,,25,,,,,,,,,,
Better Aim (Group),Stimulant,,,1,,,,,,Rare,,,TRUE,,600,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,100,self+friendly,,,,,,,77,TID_TOOLTIP_CONSUMABLE_BETTERAIMG,StimulantActivation,Skill_FX_Frantic_Mind,Skill_FX_Frantic_Mind_Target,,,,,,,,,2700000,,,,,,,,,,,25,,,,,,,,,
Muscle Boost (Group),Stimulant,,,1,,,,,,Rare,,,TRUE,,600,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,100,self+friendly,,,,,,,73,TID_TOOLTIP_CONSUMABLE_MUSCLEBOOSTG,StimulantActivation2,,,,,,,,,,,2700000,,,,,,,,,,,,25,,,,,,,,
Stamina Boost (Group),Stimulant,,,1,,,,,,Rare,,,TRUE,,600,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,100,self+friendly,,,,,,,74,TID_TOOLTIP_CONSUMABLE_STAMINABOOSTG,StimulantActivation2,,,,,,,,,,,2700000,,,,,,,,,,,,,25,,,,,,,
"Bandage, rank 1",Medikit,,,2,-360,-540,7,-730,-810,Common,,,TRUE,,60,3,10,,,graphics/loot/loot_drops.swf,bandage_icon,,,,self,,,450,,,,,,,,,35,TID_TOOLTIP_BANDAGE,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bandage, rank 2",Medikit,,,8,-783,-870,15,-1425,-1580,Common,,,TRUE,,60,8,8,,,graphics/loot/loot_drops.swf,bandage_icon,,,,self,,,450,,,,,,,,,35,TID_TOOLTIP_BANDAGE,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bandage, rank 3",Medikit,,,16,-1520,-1690,23,-2090,-2320,Common,,,TRUE,,60,16,23,,,graphics/loot/loot_drops.swf,bandage_icon,,,,self,,,450,,,,,,,,,35,TID_TOOLTIP_BANDAGE,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bandage, rank 4",Medikit,,,24,-2150,-2390,29,-2430,-2700,Common,,,TRUE,,60,24,29,,,graphics/loot/loot_drops.swf,bandage_icon,,,,self,,,450,,,,,,,,,35,TID_TOOLTIP_BANDAGE,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bandage, rank 5",Medikit,,,30,-2480,-2754,,,,Common,,,TRUE,,60,30,30,,,graphics/loot/loot_drops.swf,bandage_icon,,,,self,,,450,,,,,,,,,35,TID_TOOLTIP_BANDAGE,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bandage, rank 6",Medikit,,,30,,,,,,Common,,,TRUE,,60,30,30,,,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,450,,,,,,,,,35,TID_TOOLTIP_BANDAGE,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Energy Drink,Energizer,,,1,,,,,,Common,,,TRUE,,90,1,5,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,450,,,100,100,,,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Drink,Energizer,,,5,,,,,,Common,,,TRUE,,90,5,16,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,450,,,140,140,,,,,20,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Energy Drink,Energizer,,,11,,,,,,Common,,,TRUE,,90,11,15,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,450,,,180,180,,,,,21,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Energy Drink,Energizer,,,15,,,,,,Common,,,TRUE,,90,15,26,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,450,,,240,240,,,,,22,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Energy Drink,Energizer,,,21,,,,,,Common,,,TRUE,,90,21,25,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,450,,,280,280,,,,,23,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Energy Drink,Energizer,,,25,,,,,,Common,,,TRUE,,90,25,30,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,450,,,400,400,,,,,24,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credible Looks (Group),Stimulant,,,1,,,,,,Rare,,,TRUE,,600,1,30,,TRUE,graphics/loot/loot_box1.swf,LootShuriken,,,,self,,10,,100,self+friendly,,,,,,,66,TID_TOOLTIP_CONSUMABLE_CREDIBLELOOKSG,StimulantActivation3,,,,,,,,,,,900000,,,,,,,,,,,,,,25,,,,,,
Small Hi-Energy Boost,Energizer,,,1,,,,,,Uncommon,,,,TRUE,180,1,5,,TRUE,graphics/loot/loot_box1.swf,LootEnergyPack_high,,,,self,,,,,,140,140,,,,,103,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,8000,,,,,,,,,,,,,,,40,,,,,
Light Molotov Cocktail,Explosive,,,1,1,1,,,,Common,,,TRUE,,180,1,7,,,graphics/loot/loot_box1.swf,LootMolotov,,,Molotov,location,,20,450,50,enemy,,,,Throw,,,55,TID_TOOLTIP_CONSUMABLE_MOLOTOV,,MolotovExplosion,,,,,,,,,,4000,,,,,,,,,,,,,,,,10,,Burner,,
Fire Bomb,Explosive,,,25,1400,2000,30,500,1000,Common,TRUE,,TRUE,TRUE,60,1,30,,TRUE,graphics/loot/loot_drops.swf,drop_firebomb,,,FireBomb,location,,10,450,60,enemy,,,TRUE,Throw,,,120,TID_TOOLTIP_CONSUMABLE_FIREBOMB,,Firebomb,,,,,,,,,,5000,,,,,,,,,,,,,,,,600,,Burner,,
Stone Skin,Stimulant,,,30,,,,,,Rare,,,TRUE,TRUE,100,30,30,,,graphics/loot/loot_box1.swf,LootBox,,,,self,,50,0,,,,,,Rage,,,74,TID_TOOLTIP_CONSUMABLE_MUSCLEBOOSTG,StimulantActivation2,,,,,,,,,,,15000,,,,50,,,,5000,,,,,,,,,,ElectricShock,,
Super Bullet,Super Ammo,Basic Weapon: Ranged,Doctor,1,50,56,30,507,660,Common,,,TRUE,,180,,,,,graphics/loot/loot_drops.swf,superbullet_icon,30,,Shuriken,enemy,,20,450,,,,,,,,,115,TID_TOOLTIP_ENHANCED_BULLET,,Skill_FX_Frantic_Mind,,ShotgunPump,,WoundShot,WoundShot,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploding Bullet,Exploding Ammo,Basic Weapon: Ranged,Doctor,5,37,45,30,400,600,Common,,,TRUE,,180,,,,,graphics/loot/loot_box1.swf,LootBox,30,,Shuriken,enemy,,20,450,45,enemy,,,,,,,116,TID_TOOLTIP_EXPLODING_BULLET,,Skill_FX_BulletRain,Skill_FX_Twirler_Hit,ShotgunPump,,AimedShot,AimedShot,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piercing Bullet,Piercing Ammo,Basic Weapon: Ranged,Doctor,7,71,78,30,253,368,Common,,,TRUE,,180,,,,,graphics/loot/loot_box1.swf,LootBox,30,,Shuriken,enemy,,20,450,,,,,,,,,117,TID_TOOLTIP_PIERCING_BULLET,,,Skill_FX_Head_Wound,ShotgunPump,,QuickShot,QuickShot,,,,,5000,,,,,,,,,,,,,,,,108,1000,Burner,,
,,,Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified Haft,Enhanced Weapon,Basic Weapon: Melee,Bodyguard,1,50,56,30,507,660,Common,,,TRUE,,180,,,,,graphics/loot/loot_drops.swf,haft_icon,30,,,enemy,,50,500,,,,,,MegaStrike,,,76,TID_TOOLTIP_ENHANCED_WEAPON,,,Skill_FX_MegaStrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploding Add-on,Exploding Add-on,Basic Weapon: Melee,Bodyguard,5,37,45,30,253,445,Common,,,TRUE,,180,,,,,graphics/loot/loot_box1.swf,LootBox,30,,,enemy,,100,600,45,enemy,,,,ThrowSide,,,119,TID_TOOLTIP_EXPLODING_ADDON,,,Skill_FX_Eunuch_Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanide Surprise,Cyanide Surprise,Basic Weapon: Melee,Bodyguard,7,71,78,30,253,400,Common,,,TRUE,,180,,,,,graphics/loot/loot_box1.swf,LootBox,30,,,enemy,,20,450,,,,,,FatalStraight,,,118,TID_TOOLTIP_SYANIDE_SURPRISE,,,Skill_FX_Rude_Smash,,,,,,,,,5000,,,,,,,,,,,,,,,,108,1000,PoisonSteam,,
Beanut Butter Cookie,Food,,,1,-700,-700,6,-700,-700,Common,,,TRUE,,60,30,30,,,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,12000,,,,,,Use,,,35,TID_TOOLTIP_BANDAGE,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiced Bread,Food,,,7,-1400,-1400,13,-1400,-1400,Common,,,TRUE,,90,1,5,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,12000,,,,,,Use,,,19,TID_TOOLTIP_BANDAGE,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Soup,Food,,,14,-2800,-2800,20,-2800,-2800,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,,,,Use,,,19,TID_TOOLTIP_BANDAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit Salsa,Food,,,21,-4300,-4300,26,-4300,-4300,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,,,,Use,,,19,TID_TOOLTIP_BANDAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omelette with Herbs,Food,,,27,-5000,-5000,29,-5000,-5000,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,,,,Use,,,19,TID_TOOLTIP_BANDAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBQ Chicken Wings,Food,,,30,-5400,-5400,,-5400,-5400,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,,,,Use,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Juice,Drink,,,1,,,6,,,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,-100,-100,,Use,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiki Juice,Drink,,,7,,,13,,,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,-130,-130,,Use,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Juice,Drink,,,14,,,20,,,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,-160,-160,,Use,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Juice,Drink,,,21,,,26,,,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,-190,-190,,Use,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peach Juice,Drink,,,27,,,29,,,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,-220,-220,,Use,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Fruits Juice,Drink,,,30,,,,,,Common,,,TRUE,,,,,,,,,,,,self,,,12000,,,-250,-250,,Use,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave's Special Bullets,Super Ammo,Basic Weapon: Ranged,,1,50,56,30,507,660,Uncommon,,,TRUE,,180,,,,,graphics/loot/loot_box1.swf,LootBox,,,Shuriken,enemy,,20,450,,,,,,,,,115,TID_TOOLTIP_ENHANCED_BULLET,,Skill_FX_Frantic_Mind,,ShotgunPump,,WoundShot,WoundShot,,,,,,,,,,,,,,,,,,,,,,,,,
Dave's Special Hafts,Enhanced Weapon,Basic Weapon: Melee,,1,50,56,30,507,660,Uncommon,,,TRUE,,180,,,,,graphics/loot/loot_box1.swf,LootBox,,,,enemy,,50,500,,,,,,MegaStrike,,,76,TID_TOOLTIP_ENHANCED_WEAPON,,,Skill_FX_MegaStrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink,Combat Booster,Basic Weapon: Melee,Bodyguard,30,,,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,,,,self,,20,0,,,,,,Use,,,86,TID_TOOLTIP_BLINK,StimulantActivation,,Skill_FX_Twirler_Hit,,,,,,,,,400,,,,1000,,,,,,,,,,,,,,,,
Quick Help,Insta-Healer Ability 1,Special Weapon: Insta-Healer,Doctor,30,-1000,-3000,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,25,,,self+friendly,,50,450,,,,,,,SkillAnimation_AutoAttack,,121,TID_ABILITY_QuickHelp,,,Skill_FX_Doctors_App_Target,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,,,,,,,,,,,,,,,,,,,,,
Sacrifier,Insta-Healer Ability 2,Special Weapon: Insta-Healer,Doctor,30,-2000,-4000,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,30,2500,,friendly,,25,450,,,,,,,SkillAnimation_AutoAttack,,122,TID_ABILITY_Sacrifier,,,HealingEffect,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Treatment,Insta-Healer Ability 3,Special Weapon: Insta-Healer,Doctor,30,-3000,-4200,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,friendly,,40,200,,,,,,,,,123,TID_ABILITY_EmergencyTreatment,,,HealingEffect,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,,,,,,,,,,,,,,,,,,,,,
Healing Rays,Area-Healer Ability 1,Special Weapon: Area-Healer,Doctor,30,,,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,20,,,friendly,,30,800,50,friendly,,,,,,,90,TID_ABILITY_HealingRays,,,Skill_FX_Doctors_App_Target,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,5000,50,friendly,,,,,,,,,,,,,,-1250,,,,
Friendly Enemy,Area-Healer Ability 2,Special Weapon: Area-Healer,Doctor,30,500,700,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,25,,,enemy,,50,1000,,,,,,,,,85,TID_ABILITY_UnrealShot,,,HealingEffect,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,3000,75,enemy,,,,,,,,,,,,,,-1500,,,,
Heal Wave,Area-Healer Ability 3,Special Weapon: Area-Healer,Doctor,30,-500,-2500,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,23,,,self,,60,500,50,self+friendly,,,,,,,75,TID_ABILITY_PulseHeal,,,Skill_FX_Doctors_App_Target,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,,,,,,,,,,,,,,,,,,,,,
Medicine Shot,Prolonger Ability 1,Special Weapon: Prolonger,Doctor,30,-500,-800,,,,Common,,,TRUE,,300,30,30,,,graphics/loot/loot_box1.swf,LootBox,35,,,friendly,,36,400,,,,,,,,,124,TID_ABILITY_MedicineShot,,,HealingEffect,,muzzle_heal,HealShot,HealShot,Tracer_heal,,,,10000,,,,,,,,,,,,,,,,-2000,,,,
